 Óbitos por causas evitáveis de 5 a 74 anos - Mato Grosso
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MT";3
"510010 ACORIZAL";24
"510020 AGUA BOA";111
"510025 ALTA FLORESTA";204
"510030 ALTO ARAGUAIA";63
"510035 ALTO BOA VISTA";18
"510040 ALTO GARCAS";42
"510050 ALTO PARAGUAI";43
"510060 ALTO TAQUARI";38
"510080 APIACAS";26
"510100 ARAGUAIANA";10
"510120 ARAGUAINHA";4
"510125 ARAPUTANGA";56
"510130 ARENAPOLIS";59
"510140 ARIPUANA";104
"510160 BARAO DE MELGACO";20
"510170 BARRA DO BUGRES";116
"510180 BARRA DO GARCAS";342
"510185 BOM JESUS DO ARAGUAIA";23
"510190 BRASNORTE";65
"510250 CACERES";474
"510260 CAMPINAPOLIS";60
"510263 CAMPO NOVO DO PARECIS";122
"510267 CAMPO VERDE";158
"510268 CAMPOS DE JULIO";23
"510269 CANABRAVA DO NORTE";19
"510270 CANARANA";70
"510279 CARLINDA";50
"510285 CASTANHEIRA";28
"510300 CHAPADA DOS GUIMARAES";78
"510305 CLAUDIA";43
"510310 COCALINHO";29
"510320 COLIDER";154
"510325 COLNIZA";101
"510330 COMODORO";55
"510335 CONFRESA";103
"510336 CONQUISTA D'OESTE";6
"510337 COTRIGUACU";39
"510340 CUIABA";3130
"510343 CURVELANDIA";24
"510345 DENISE";25
"510350 DIAMANTINO";98
"510360 DOM AQUINO";33
"510370 FELIZ NATAL";43
"510380 FIGUEIROPOLIS D'OESTE";12
"510385 GAUCHA DO NORTE";19
"510390 GENERAL CARNEIRO";31
"510395 GLORIA D'OESTE";11
"510410 GUARANTA DO NORTE";113
"510420 GUIRATINGA";51
"510450 INDIAVAI";16
"510452 IPIRANGA DO NORTE";18
"510454 ITANHANGA";25
"510455 ITAUBA";22
"510460 ITIQUIRA";31
"510480 JACIARA";121
"510490 JANGADA";36
"510500 JAURU";43
"510510 JUARA";127
"510515 JUINA";188
"510517 JURUENA";30
"510520 JUSCIMEIRA";56
"510523 LAMBARI D'OESTE";15
"510525 LUCAS DO RIO VERDE";203
"510530 LUCIARA";6
