 Óbitos por causas evitáveis de 5 a 74 anos - Pernambuco
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PE";72
"260005 ABREU E LIMA";524
"260010 AFOGADOS DA INGAZEIRA";192
"260020 AFRANIO";65
"260030 AGRESTINA";126
"260040 AGUA PRETA";161
"260050 AGUAS BELAS";183
"260060 ALAGOINHA";66
"260070 ALIANCA";194
"260080 ALTINHO";88
"260090 AMARAJI";100
"260100 ANGELIM";55
"260105 ARACOIABA";97
"260110 ARARIPINA";329
"260120 ARCOVERDE";349
"260130 BARRA DE GUABIRABA";51
"260140 BARREIROS";240
"260150 BELEM DE MARIA";50
"260160 BELEM DO SAO FRANCISCO";78
"260170 BELO JARDIM";397
"260180 BETANIA";46
"260190 BEZERROS";327
"260200 BODOCO";108
"260210 BOM CONSELHO";179
"260220 BOM JARDIM";193
"260230 BONITO";169
"260240 BREJAO";47
"260250 BREJINHO";42
"260260 BREJO DA MADRE DE DEUS";198
"260270 BUENOS AIRES";68
"260280 BUIQUE";182
"260290 CABO DE SANTO AGOSTINHO";1162
"260300 CABROBO";101
"260310 CACHOEIRINHA";78
"260320 CAETES";96
"260330 CALCADO";39
"260340 CALUMBI";31
"260345 CAMARAGIBE";855
"260350 CAMOCIM DE SAO FELIX";75
"260360 CAMUTANGA";39
"260370 CANHOTINHO";111
"260380 CAPOEIRAS";62
"260390 CARNAIBA";85
"260392 CARNAUBEIRA DA PENHA";43
"260400 CARPINA";383
"260410 CARUARU";1547
"260415 CASINHAS";61
"260420 CATENDE";205
"260430 CEDRO";39
"260440 CHA DE ALEGRIA";60
"260450 CHA GRANDE";111
"260460 CONDADO";135
"260470 CORRENTES";59
"260480 CORTES";83
"260490 CUMARU";59
"260500 CUPIRA";133
"260510 CUSTODIA";134
"260515 DORMENTES";58
"260520 ESCADA";384
"260530 EXU";103
"260540 FEIRA NOVA";104
"260545 FERNANDO DE NORONHA";6
"260550 FERREIROS";47
"260560 FLORES";77
"260570 FLORESTA";104
"260580 FREI MIGUELINHO";72
"260590 GAMELEIRA";119
"260600 GARANHUNS";627
"260610 GLORIA DO GOITA";126
"260620 GOIANA";333
"260630 GRANITO";27
"260640 GRAVATA";385
"260650 IATI";75
"260660 IBIMIRIM";105
"260670 IBIRAJUBA";26
"260680 IGARASSU";560
"260690 IGUARACY";44
"260700 INAJA";48
"260710 INGAZEIRA";11
"260720 IPOJUCA";410
"260730 IPUBI";123
"260740 ITACURUBA";22
"260750 ITAIBA";96
"260760 ILHA DE ITAMARACA";91
"260765 ITAMBE";141
"260770 ITAPETIM";72
"260775 ITAPISSUMA";125
"260780 ITAQUITINGA";85
"260790 JABOATAO DOS GUARARAPES";3284
"260795 JAQUEIRA";59
"260800 JATAUBA";73
"260805 JATOBA";54
"260810 JOAO ALFREDO";148
"260820 JOAQUIM NABUCO";64
"260825 JUCATI";41
"260830 JUPI";69
"260840 JUREMA";72
"260845 LAGOA DO CARRO";88
"260850 LAGOA DE ITAENGA";114
"260860 LAGOA DO OURO";48
"260870 LAGOA DOS GATOS";61
"260875 LAGOA GRANDE";87
"260880 LAJEDO";227
"260890 LIMOEIRO";290
"260900 MACAPARANA";101
"260910 MACHADOS";41
"260915 MANARI";47
"260920 MARAIAL";44
"260930 MIRANDIBA";58
"260940 MORENO";293
"260950 NAZARE DA MATA";171
"260960 OLINDA";2145
"260970 OROBO";87
"260980 OROCO";53
"260990 OURICURI";218
"261000 PALMARES";359
"261010 PALMEIRINA";38
"261020 PANELAS";132
"261030 PARANATAMA";57
"261040 PARNAMIRIM";60
"261050 PASSIRA";139
"261060 PAUDALHO";283
"261070 PAULISTA";1684
"261080 PEDRA";83
"261090 PESQUEIRA";314
"261100 PETROLANDIA";115
"261110 PETROLINA";1277
"261120 POCAO";40
"261130 POMBOS";114
"261140 PRIMAVERA";66
"261150 QUIPAPA";97
"261153 QUIXABA";21
"261160 RECIFE";8674
