 Óbitos por causas evitáveis de 5 a 74 anos - Paraná
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PR";31
"410010 ABATIA";43
"410020 ADRIANOPOLIS";33
"410030 AGUDOS DO SUL";53
"410040 ALMIRANTE TAMANDARE";545
"410045 ALTAMIRA DO PARANA";13
"410050 ALTONIA";109
"410060 ALTO PARANA";85
"410070 ALTO PIQUIRI";57
"410080 ALVORADA DO SUL";62
"410090 AMAPORA";28
"410100 AMPERE";65
"410105 ANAHY";6
"410110 ANDIRA";83
"410115 ANGULO";10
"410120 ANTONINA";100
"410130 ANTONIO OLINTO";34
"410140 APUCARANA";506
"410150 ARAPONGAS";495
"410160 ARAPOTI";119
"410165 ARAPUA";16
"410170 ARARUNA";52
"410180 ARAUCARIA";581
"410185 ARIRANHA DO IVAI";10
"410190 ASSAI";84
"410200 ASSIS CHATEAUBRIAND";173
"410210 ASTORGA";94
"410220 ATALAIA";17
"410230 BALSA NOVA";63
"410240 BANDEIRANTES";171
"410250 BARBOSA FERRAZ";66
"410260 BARRACAO";37
"410270 BARRA DO JACARE";6
"410275 BELA VISTA DA CAROBA";9
"410280 BELA VISTA DO PARAISO";76
"410290 BITURUNA";55
"410300 BOA ESPERANCA";20
"410302 BOA ESPERANCA DO IGUACU";9
"410304 BOA VENTURA DE SAO ROQUE";22
"410305 BOA VISTA DA APARECIDA";43
"410310 BOCAIUVA DO SUL";57
"410315 BOM JESUS DO SUL";14
"410320 BOM SUCESSO";29
"410322 BOM SUCESSO DO SUL";12
"410330 BORRAZOPOLIS";28
"410335 BRAGANEY";28
"410337 BRASILANDIA DO SUL";14
"410340 CAFEARA";11
"410345 CAFELANDIA";58
"410347 CAFEZAL DO SUL";21
"410350 CALIFORNIA";37
"410360 CAMBARA";122
"410370 CAMBE";469
"410380 CAMBIRA";40
"410390 CAMPINA DA LAGOA";68
"410395 CAMPINA DO SIMAO";16
"410400 CAMPINA GRANDE DO SUL";235
"410405 CAMPO BONITO";21
"410410 CAMPO DO TENENTE";30
"410420 CAMPO LARGO";506
"410425 CAMPO MAGRO";106
"410430 CAMPO MOURAO";431
"410440 CANDIDO DE ABREU";67
"410442 CANDOI";73
"410445 CANTAGALO";62
"410450 CAPANEMA";84
"410460 CAPITAO LEONIDAS MARQUES";63
"410465 CARAMBEI";68
"410470 CARLOPOLIS";75
"410480 CASCAVEL";1199
"410490 CASTRO";291
"410500 CATANDUVAS";33
"410510 CENTENARIO DO SUL";41
"410520 CERRO AZUL";70
"410530 CEU AZUL";40
"410540 CHOPINZINHO";78
"410550 CIANORTE";304
"410560 CIDADE GAUCHA";55
"410570 CLEVELANDIA";84
"410580 COLOMBO";1079
"410590 COLORADO";92
"410600 CONGONHINHAS";32
"410610 CONSELHEIRO MAIRINCK";25
"410620 CONTENDA";73
"410630 CORBELIA";64
"410640 CORNELIO PROCOPIO";201
"410645 CORONEL DOMINGOS SOARES";22
"410650 CORONEL VIVIDA";95
"410655 CORUMBATAI DO SUL";22
"410657 CRUZEIRO DO IGUACU";23
"410660 CRUZEIRO DO OESTE";106
"410670 CRUZEIRO DO SUL";22
"410680 CRUZ MACHADO";72
"410685 CRUZMALTINA";13
"410690 CURITIBA";7113
"410700 CURIUVA";72
"410710 DIAMANTE DO NORTE";25
"410712 DIAMANTE DO SUL";14
"410715 DIAMANTE D'OESTE";20
"410720 DOIS VIZINHOS";167
"410725 DOURADINA";31
"410730 DOUTOR CAMARGO";29
"410740 ENEAS MARQUES";25
"410750 ENGENHEIRO BELTRAO";82
"410752 ESPERANCA NOVA";8
"410753 ENTRE RIOS DO OESTE";20
"410754 ESPIGAO ALTO DO IGUACU";19
"410755 FAROL";14
"410760 FAXINAL";86
"410765 FAZENDA RIO GRANDE";532
"410770 FENIX";23
"410773 FERNANDES PINHEIRO";27
"410775 FIGUEIRA";37
"410780 FLORAI";23
"410785 FLOR DA SERRA DO SUL";17
"410790 FLORESTA";31
"410800 FLORESTOPOLIS";80
"410810 FLORIDA";11
"410820 FORMOSA DO OESTE";29
"410830 FOZ DO IGUACU";1173
"410832 FRANCISCO ALVES";36
"410840 FRANCISCO BELTRAO";284
"410845 FOZ DO JORDAO";26
"410850 GENERAL CARNEIRO";50
"410855 GODOY MOREIRA";16
"410860 GOIOERE";145
"410865 GOIOXIM";26
"410870 GRANDES RIOS";23
"410880 GUAIRA";147
"410890 GUAIRACA";25
"410895 GUAMIRANGA";40
"410900 GUAPIRAMA";16
"410910 GUAPOREMA";9
"410920 GUARACI";20
"410930 GUARANIACU";62
"410940 GUARAPUAVA";761
"410950 GUARAQUECABA";22
"410960 GUARATUBA";190
"410965 HONORIO SERPA";14
"410970 IBAITI";148
"410975 IBEMA";38
"410980 IBIPORA";239
"410990 ICARAIMA";36
"411000 IGUARACU";23
"411005 IGUATU";11
"411007 IMBAU";66
"411010 IMBITUVA";117
"411020 INACIO MARTINS";41
"411030 INAJA";19
"411040 INDIANOPOLIS";15
"411050 IPIRANGA";49
"411060 IPORA";60
"411065 IRACEMA DO OESTE";8
"411070 IRATI";266
"411080 IRETAMA";45
"411090 ITAGUAJE";26
"411095 ITAIPULANDIA";57
"411100 ITAMBARACA";35
"411110 ITAMBE";29
"411120 ITAPEJARA D'OESTE";52
"411125 ITAPERUCU";140
"411130 ITAUNA DO SUL";17
"411140 IVAI";47
"411150 IVAIPORA";167
"411155 IVATE";39
"411160 IVATUBA";13
"411170 JABOTI";20
"411180 JACAREZINHO";190
"411190 JAGUAPITA";70
"411200 JAGUARIAIVA";166
"411210 JANDAIA DO SUL";94
"411220 JANIOPOLIS";39
"411230 JAPIRA";19
"411240 JAPURA";33
"411250 JARDIM ALEGRE";60
"411260 JARDIM OLINDA";11
"411270 JATAIZINHO";78
"411275 JESUITAS";36
"411280 JOAQUIM TAVORA";55
"411290 JUNDIAI DO SUL";18
"411295 JURANDA";34
"411300 JUSSARA";33
"411310 KALORE";18
"411320 LAPA";193
"411325 LARANJAL";24
"411330 LARANJEIRAS DO SUL";142
"411340 LEOPOLIS";16
"411342 LIDIANOPOLIS";25
"411345 LINDOESTE";26
"411350 LOANDA";102
"411360 LOBATO";13
"411370 LONDRINA";2252
"411373 LUIZIANA";37
"411375 LUNARDELLI";23
"411380 LUPIONOPOLIS";25
"411390 MALLET";53
"411400 MAMBORE";59
"411410 MANDAGUACU";108
"411420 MANDAGUARI";157
"411430 MANDIRITUBA";105
"411435 MANFRINOPOLIS";9
"411440 MANGUEIRINHA";64
"411450 MANOEL RIBAS";48
"411460 MARECHAL CANDIDO RONDON";207
"411470 MARIA HELENA";33
"411480 MARIALVA";150
"411490 MARILANDIA DO SUL";52
"411500 MARILENA";32
"411510 MARILUZ";65
"411520 MARINGA";1406
"411530 MARIOPOLIS";27
"411535 MARIPA";31
"411540 MARMELEIRO";53
"411545 MARQUINHO";12
"411550 MARUMBI";22
"411560 MATELANDIA";51
"411570 MATINHOS";212
"411573 MATO RICO";16
"411575 MAUA DA SERRA";44
"411580 MEDIANEIRA";184
"411585 MERCEDES";11
"411590 MIRADOR";15
"411600 MIRASELVA";6
"411605 MISSAL";63
"411610 MOREIRA SALES";71
"411620 MORRETES";99
"411630 MUNHOZ DE MELO";13
"411640 NOSSA SENHORA DAS GRACAS";15
"411650 NOVA ALIANCA DO IVAI";4
"411660 NOVA AMERICA DA COLINA";13
"411670 NOVA AURORA";58
"411680 NOVA CANTU";33
"411690 NOVA ESPERANCA";136
"411695 NOVA ESPERANCA DO SUDOESTE";16
"411700 NOVA FATIMA";45
"411705 NOVA LARANJEIRAS";40
"411710 NOVA LONDRINA";49
"411720 NOVA OLIMPIA";26
"411721 NOVA SANTA BARBARA";21
"411722 NOVA SANTA ROSA";33
"411725 NOVA PRATA DO IGUACU";45
"411727 NOVA TEBAS";23
"411729 NOVO ITACOLOMI";21
"411730 ORTIGUEIRA";123
"411740 OURIZONA";22
"411745 OURO VERDE DO OESTE";33
"411750 PAICANDU";181
"411760 PALMAS";184
"411770 PALMEIRA";138
"411780 PALMITAL";49
"411790 PALOTINA";113
"411800 PARAISO DO NORTE";62
"411810 PARANACITY";41
"411820 PARANAGUA";749
"411830 PARANAPOEMA";12
"411840 PARANAVAI";369
"411845 PATO BRAGADO";24
"411850 PATO BRANCO";316
"411860 PAULA FREITAS";31
"411870 PAULO FRONTIN";25
"411880 PEABIRU";76
"411885 PEROBAL";32
"411890 PEROLA";48
"411900 PEROLA D'OESTE";21
"411910 PIEN";50
"411915 PINHAIS";521
"411920 PINHALAO";25
"411925 PINHAL DE SAO BENTO";6
"411930 PINHAO";160
"411940 PIRAI DO SUL";104
"411950 PIRAQUARA";509
"411960 PITANGA";135
"411965 PITANGUEIRAS";16
"411970 PLANALTINA DO PARANA";28
"411980 PLANALTO";48
"411990 PONTA GROSSA";1468
"411995 PONTAL DO PARANA";156
"412000 PORECATU";69
"412010 PORTO AMAZONAS";13
"412015 PORTO BARREIRO";18
"412020 PORTO RICO";11
"412030 PORTO VITORIA";19
"412033 PRADO FERREIRA";20
"412035 PRANCHITA";24
"412040 PRESIDENTE CASTELO BRANCO";27
"412050 PRIMEIRO DE MAIO";49
"412060 PRUDENTOPOLIS";229
"412065 QUARTO CENTENARIO";20
"412070 QUATIGUA";39
"412080 QUATRO BARRAS";105
"412085 QUATRO PONTES";16
"412090 QUEDAS DO IGUACU";135
"412100 QUERENCIA DO NORTE";39
"412110 QUINTA DO SOL";25
"412120 QUITANDINHA";89
"412125 RAMILANDIA";12
"412130 RANCHO ALEGRE";14
"412135 RANCHO ALEGRE D'OESTE";16
"412140 REALEZA";71
"412150 REBOUCAS";63
"412160 RENASCENCA";21
"412170 RESERVA";122
"412175 RESERVA DO IGUACU";26
"412180 RIBEIRAO CLARO";63
"412190 RIBEIRAO DO PINHAL";79
"412200 RIO AZUL";45
"412210 RIO BOM";18
"412215 RIO BONITO DO IGUACU";50
"412217 RIO BRANCO DO IVAI";11
"412220 RIO BRANCO DO SUL";159
"412230 RIO NEGRO";133
"412240 ROLANDIA";275
"412250 RONCADOR";58
"412260 RONDON";33
"412265 ROSARIO DO IVAI";30
"412270 SABAUDIA";36
"412280 SALGADO FILHO";10
"412290 SALTO DO ITARARE";22
"412300 SALTO DO LONTRA";53
"412310 SANTA AMELIA";16
"412320 SANTA CECILIA DO PAVAO";21
"412330 SANTA CRUZ DE MONTE CASTELO";47
"412340 SANTA FE";58
"412350 SANTA HELENA";115
"412360 SANTA INES";9
"412370 SANTA ISABEL DO IVAI";41
"412380 SANTA IZABEL DO OESTE";57
"412382 SANTA LUCIA";19
"412385 SANTA MARIA DO OESTE";51
"412390 SANTA MARIANA";68
"412395 SANTA MONICA";12
"412400 SANTANA DO ITARARE";32
"412402 SANTA TEREZA DO OESTE";39
"412405 SANTA TEREZINHA DE ITAIPU";76
"412410 SANTO ANTONIO DA PLATINA";203
"412420 SANTO ANTONIO DO CAIUA";11
"412430 SANTO ANTONIO DO PARAISO";16
"412440 SANTO ANTONIO DO SUDOESTE";78
"412450 SANTO INACIO";11
"412460 SAO CARLOS DO IVAI";34
"412470 SAO JERONIMO DA SERRA";53
"412480 SAO JOAO";35
"412490 SAO JOAO DO CAIUA";33
"412500 SAO JOAO DO IVAI";58
"412510 SAO JOAO DO TRIUNFO";38
"412520 SAO JORGE D'OESTE";22
"412530 SAO JORGE DO IVAI";21
"412535 SAO JORGE DO PATROCINIO";22
"412540 SAO JOSE DA BOA VISTA";21
"412545 SAO JOSE DAS PALMEIRAS";27
"412550 SAO JOSE DOS PINHAIS";1270
"412555 SAO MANOEL DO PARANA";7
"412560 SAO MATEUS DO SUL";155
"412570 SAO MIGUEL DO IGUACU";109
"412575 SAO PEDRO DO IGUACU";27
"412580 SAO PEDRO DO IVAI";60
"412590 SAO PEDRO DO PARANA";11
"412600 SAO SEBASTIAO DA AMOREIRA";39
"412610 SAO TOME";30
"412620 SAPOPEMA";34
"412625 SARANDI";448
"412627 SAUDADE DO IGUACU";30
"412630 SENGES";93
"412635 SERRANOPOLIS DO IGUACU";14
"412640 SERTANEJA";30
"412650 SERTANOPOLIS";66
"412660 SIQUEIRA CAMPOS";99
"412665 SULINA";8
"412667 TAMARANA";49
"412670 TAMBOARA";14
"412680 TAPEJARA";67
"412690 TAPIRA";38
"412700 TEIXEIRA SOARES";27
"412710 TELEMACO BORBA";373
"412720 TERRA BOA";84
"412730 TERRA RICA";73
"412740 TERRA ROXA";75
"412750 TIBAGI";99
"412760 TIJUCAS DO SUL";75
"412770 TOLEDO";529
"412780 TOMAZINA";38
"412785 TRES BARRAS DO PARANA";45
"412788 TUNAS DO PARANA";33
"412790 TUNEIRAS DO OESTE";36
"412795 TUPASSI";35
"412796 TURVO";58
"412800 UBIRATA";103
"412810 UMUARAMA";443
"412820 UNIAO DA VITORIA";254
"412830 UNIFLOR";5
"412840 URAI";46
"412850 WENCESLAU BRAZ";122
"412853 VENTANIA";55
"412855 VERA CRUZ DO OESTE";37
"412860 VERE";38
"412862 ALTO PARAISO";9
"412863 DOUTOR ULYSSES";20
"412865 VIRMOND";22
"412870 VITORINO";36
"412880 XAMBRE";29
"Total";47476
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
