 Óbitos por causas evitáveis de 5 a 74 anos - Rio Grande do Norte
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - RN";1
"240010 ACARI";54
"240020 ASSU";251
"240030 AFONSO BEZERRA";37
"240040 AGUA NOVA";11
"240050 ALEXANDRIA";53
"240060 ALMINO AFONSO";11
"240070 ALTO DO RODRIGUES";60
"240080 ANGICOS";49
"240090 ANTONIO MARTINS";27
"240100 APODI";139
"240110 AREIA BRANCA";158
"240120 AREZ";52
"240130 CAMPO GRANDE";28
"240140 BAIA FORMOSA";40
"240145 BARAUNA";109
"240150 BARCELONA";22
"240160 BENTO FERNANDES";13
"240165 BODO";8
"240170 BOM JESUS";44
"240180 BREJINHO";50
"240185 CAICARA DO NORTE";26
"240190 CAICARA DO RIO DO VENTO";11
"240200 CAICO";289
"240210 CAMPO REDONDO";30
"240220 CANGUARETAMA";133
"240230 CARAUBAS";89
"240240 CARNAUBA DOS DANTAS";29
"240250 CARNAUBAIS";42
"240260 CEARA-MIRIM";288
"240270 CERRO CORA";25
"240280 CORONEL EZEQUIEL";16
"240290 CORONEL JOAO PESSOA";20
"240300 CRUZETA";36
"240310 CURRAIS NOVOS";162
"240320 DOUTOR SEVERIANO";27
"240325 PARNAMIRIM";798
"240330 ENCANTO";35
"240340 EQUADOR";12
"240350 ESPIRITO SANTO";30
"240360 EXTREMOZ";200
"240370 FELIPE GUERRA";22
"240375 FERNANDO PEDROZA";13
"240380 FLORANIA";30
"240390 FRANCISCO DANTAS";13
"240400 FRUTUOSO GOMES";21
"240410 GALINHOS";10
"240420 GOIANINHA";98
"240430 GOVERNADOR DIX-SEPT ROSADO";67
"240440 GROSSOS";42
"240450 GUAMARE";69
"240460 IELMO MARINHO";37
"240470 IPANGUACU";63
"240480 IPUEIRA";2
"240485 ITAJA";22
"240490 ITAU";23
"240500 JACANA";30
"240510 JANDAIRA";19
"240520 JANDUIS";24
"240530 JANUARIO CICCO";28
"240540 JAPI";29
