 Óbitos por causas evitáveis de 5 a 74 anos - Rio Grande do Sul
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
"430003 ACEGUA";22
"430005 AGUA SANTA";12
"430010 AGUDO";69
"430020 AJURICABA";21
"430030 ALECRIM";40
"430040 ALEGRETE";328
"430045 ALEGRIA";15
"430047 ALMIRANTE TAMANDARE DO SUL";11
"430050 ALPESTRE";31
"430055 ALTO ALEGRE";4
"430057 ALTO FELIZ";11
"430060 ALVORADA";1128
"430063 AMARAL FERRADOR";34
"430064 AMETISTA DO SUL";33
"430066 ANDRE DA ROCHA";11
"430070 ANTA GORDA";25
"430080 ANTONIO PRADO";50
"430085 ARAMBARE";20
"430087 ARARICA";30
"430090 ARATIBA";17
"430100 ARROIO DO MEIO";87
"430105 ARROIO DO SAL";45
"430107 ARROIO DO PADRE";6
"430110 ARROIO DOS RATOS";63
"430120 ARROIO DO TIGRE";57
"430130 ARROIO GRANDE";86
"430140 ARVOREZINHA";41
"430150 AUGUSTO PESTANA";28
"430155 AUREA";15
"430160 BAGE";614
"430163 BALNEARIO PINHAL";82
"430165 BARAO";24
"430170 BARAO DE COTEGIPE";22
"430175 BARAO DO TRIUNFO";23
"430180 BARRACAO";23
"430185 BARRA DO GUARITA";10
"430187 BARRA DO QUARAI";14
"430190 BARRA DO RIBEIRO";76
"430192 BARRA DO RIO AZUL";2
"430195 BARRA FUNDA";8
"430200 BARROS CASSAL";66
"430205 BENJAMIN CONSTANT DO SUL";6
"430210 BENTO GONCALVES";420
"430215 BOA VISTA DAS MISSOES";12
"430220 BOA VISTA DO BURICA";25
"430222 BOA VISTA DO CADEADO";11
"430223 BOA VISTA DO INCRA";7
"430225 BOA VISTA DO SUL";7
"430230 BOM JESUS";63
"430235 BOM PRINCIPIO";50
"430237 BOM PROGRESSO";15
"430240 BOM RETIRO DO SUL";65
"430245 BOQUEIRAO DO LEAO";30
"430250 BOSSOROCA";37
"430258 BOZANO";11
"430260 BRAGA";10
"430265 BROCHIER";19
"430270 BUTIA";101
"430280 CACAPAVA DO SUL";201
"430290 CACEQUI";59
"430300 CACHOEIRA DO SUL";397
"430310 CACHOEIRINHA";587
"430320 CACIQUE DOBLE";18
"430330 CAIBATE";27
"430340 CAICARA";17
"430350 CAMAQUA";279
"430355 CAMARGO";11
"430360 CAMBARA DO SUL";26
"430367 CAMPESTRE DA SERRA";12
"430370 CAMPINA DAS MISSOES";29
"430380 CAMPINAS DO SUL";29
"430390 CAMPO BOM";285
"430400 CAMPO NOVO";24
"430410 CAMPOS BORGES";17
"430420 CANDELARIA";148
"430430 CANDIDO GODOI";23
"430435 CANDIOTA";45
"430440 CANELA";213
"430450 CANGUCU";256
"430460 CANOAS";1748
"430461 CANUDOS DO VALE";10
"430462 CAPAO BONITO DO SUL";10
"430463 CAPAO DA CANOA";239
"430465 CAPAO DO CIPO";8
"430466 CAPAO DO LEAO";155
"430467 CAPIVARI DO SUL";21
"430468 CAPELA DE SANTANA";39
"430469 CAPITAO";8
"430470 CARAZINHO";296
"430471 CARAA";22
"430480 CARLOS BARBOSA";65
"430485 CARLOS GOMES";14
"430490 CASCA";38
"430495 CASEIROS";12
"430500 CATUIPE";37
"430510 CAXIAS DO SUL";1707
"430511 CENTENARIO";9
"430512 CERRITO";30
"430513 CERRO BRANCO";21
"430515 CERRO GRANDE";11
"430517 CERRO GRANDE DO SUL";45
"430520 CERRO LARGO";59
"430530 CHAPADA";32
"430535 CHARQUEADAS";157
"430537 CHARRUA";23
"430540 CHIAPETTA";16
"430543 CHUI";7
"430544 CHUVISCA";17
"430545 CIDREIRA";120
"430550 CIRIACO";21
"430558 COLINAS";10
"430560 COLORADO";10
"430570 CONDOR";27
"430580 CONSTANTINA";41
"430583 COQUEIRO BAIXO";4
"430585 COQUEIROS DO SUL";5
"430587 CORONEL BARROS";11
"430590 CORONEL BICACO";34
"430593 CORONEL PILAR";2
"430595 COTIPORA";13
"430597 COXILHA";11
"430600 CRISSIUMAL";52
"430605 CRISTAL";38
"430607 CRISTAL DO SUL";11
"430610 CRUZ ALTA";329
"430613 CRUZALTENSE";6
"430620 CRUZEIRO DO SUL";57
"430630 DAVID CANABARRO";16
"430632 DERRUBADAS";15
"430635 DEZESSEIS DE NOVEMBRO";12
"430637 DILERMANDO DE AGUIAR";14
"430640 DOIS IRMAOS";108
"430642 DOIS IRMAOS DAS MISSOES";7
"430645 DOIS LAJEADOS";10
"430650 DOM FELICIANO";66
"430655 DOM PEDRO DE ALCANTARA";15
"430660 DOM PEDRITO";167
"430670 DONA FRANCISCA";21
"430673 DOUTOR MAURICIO CARDOSO";31
"430675 DOUTOR RICARDO";6
"430676 ELDORADO DO SUL";153
"430680 ENCANTADO";87
"430690 ENCRUZILHADA DO SUL";125
"430692 ENGENHO VELHO";4
"430693 ENTRE-IJUIS";44
"430695 ENTRE RIOS DO SUL";15
"430697 EREBANGO";12
"430700 ERECHIM";380
"430705 ERNESTINA";10
"430710 HERVAL";31
"430720 ERVAL GRANDE";27
"430730 ERVAL SECO";30
"430740 ESMERALDA";12
"430745 ESPERANCA DO SUL";25
"430750 ESPUMOSO";79
"430755 ESTACAO";19
"430760 ESTANCIA VELHA";188
"430770 ESTEIO";403
"430780 ESTRELA";118
"430781 ESTRELA VELHA";15
"430783 EUGENIO DE CASTRO";9
"430786 FAGUNDES VARELA";4
"430790 FARROUPILHA";290
"430800 FAXINAL DO SOTURNO";21
"430805 FAXINALZINHO";9
"430807 FAZENDA VILANOVA";19
"430810 FELIZ";60
"430820 FLORES DA CUNHA";117
"430825 FLORIANO PEIXOTO";8
"430830 FONTOURA XAVIER";62
"430840 FORMIGUEIRO";30
"430843 FORQUETINHA";12
"430845 FORTALEZA DOS VALOS";16
"430850 FREDERICO WESTPHALEN";112
"430860 GARIBALDI";120
"430865 GARRUCHOS";8
"430870 GAURAMA";11
"430880 GENERAL CAMARA";42
"430885 GENTIL";6
"430890 GETULIO VARGAS";72
"430900 GIRUA";85
"430905 GLORINHA";27
"430910 GRAMADO";164
"430912 GRAMADO DOS LOUREIROS";15
"430915 GRAMADO XAVIER";11
"430920 GRAVATAI";1340
"430925 GUABIJU";6
"430930 GUAIBA";467
"430940 GUAPORE";97
"430950 GUARANI DAS MISSOES";44
"430955 HARMONIA";18
"430957 HERVEIRAS";13
"430960 HORIZONTINA";67
"430965 HULHA NEGRA";24
"430970 HUMAITA";19
"430975 IBARAMA";16
"430980 IBIACA";23
"430990 IBIRAIARAS";29
"430995 IBIRAPUITA";17
"431000 IBIRUBA";61
"431010 IGREJINHA";145
"431020 IJUI";369
"431030 ILOPOLIS";17
"431033 IMBE";140
"431036 IMIGRANTE";12
"431040 INDEPENDENCIA";19
"431041 INHACORA";8
"431043 IPE";19
"431046 IPIRANGA DO SUL";5
"431050 IRAI";45
"431053 ITAARA";25
"431055 ITACURUBI";15
"431057 ITAPUCA";2
"431060 ITAQUI";163
"431065 ITATI";19
"431070 ITATIBA DO SUL";18
"431075 IVORA";1
"431080 IVOTI";73
"431085 JABOTICABA";21
"431087 JACUIZINHO";8
"431090 JACUTINGA";13
"431100 JAGUARAO";145
"431110 JAGUARI";44
"431112 JAQUIRANA";21
"431113 JARI";12
"431115 JOIA";33
"431120 JULIO DE CASTILHOS";97
"431123 LAGOA BONITA DO SUL";12
"431125 LAGOAO";24
"431127 LAGOA DOS TRES CANTOS";9
"431130 LAGOA VERMELHA";148
"431140 LAJEADO";298
"431142 LAJEADO DO BUGRE";18
"431150 LAVRAS DO SUL";45
"431160 LIBERATO SALZANO";19
"431162 LINDOLFO COLLOR";19
"431164 LINHA NOVA";5
"431170 MACHADINHO";12
"431171 MACAMBARA";14
"431173 MAMPITUBA";11
"431175 MANOEL VIANA";23
"431177 MAQUINE";25
"431179 MARATA";4
"431180 MARAU";141
"431190 MARCELINO RAMOS";28
"431198 MARIANA PIMENTEL";26
"431200 MARIANO MORO";6
"431205 MARQUES DE SOUZA";26
"431210 MATA";19
"431213 MATO CASTELHANO";13
"431215 MATO LEITAO";11
"431217 MATO QUEIMADO";7
"431220 MAXIMILIANO DE ALMEIDA";25
"431225 MINAS DO LEAO";42
"431230 MIRAGUAI";25
"431235 MONTAURI";6
"431237 MONTE ALEGRE DOS CAMPOS";19
"431238 MONTE BELO DO SUL";10
"431240 MONTENEGRO";272
"431242 MORMACO";8
"431244 MORRINHOS DO SUL";12
"431245 MORRO REDONDO";36
"431247 MORRO REUTER";20
"431250 MOSTARDAS";61
"431260 MUCUM";26
"431261 MUITOS CAPOES";13
"431262 MULITERNO";4
"431265 NAO-ME-TOQUE";82
"431267 NICOLAU VERGUEIRO";8
"431270 NONOAI";75
"431275 NOVA ALVORADA";14
"431280 NOVA ARACA";18
"431290 NOVA BASSANO";26
"431295 NOVA BOA VISTA";6
"431300 NOVA BRESCIA";11
"431301 NOVA CANDELARIA";10
"431303 NOVA ESPERANCA DO SUL";15
"431306 NOVA HARTZ";89
"431308 NOVA PADUA";9
"431310 NOVA PALMA";18
"431320 NOVA PETROPOLIS";85
"431330 NOVA PRATA";79
"431333 NOVA RAMADA";5
"431335 NOVA ROMA DO SUL";12
"431337 NOVA SANTA RITA";115
"431339 NOVO CABRAIS";20
"431340 NOVO HAMBURGO";1152
"431342 NOVO MACHADO";17
"431344 NOVO TIRADENTES";12
"431346 NOVO XINGU";4
"431349 NOVO BARREIRO";24
"431350 OSORIO";232
"431360 PAIM FILHO";12
"431365 PALMARES DO SUL";78
"431370 PALMEIRA DAS MISSOES";176
"431380 PALMITINHO";25
"431390 PANAMBI";143
"431395 PANTANO GRANDE";44
"431400 PARAI";26
"431402 PARAISO DO SUL";39
"431403 PARECI NOVO";15
"431405 PAROBE";256
"431406 PASSA SETE";23
"431407 PASSO DO SOBRADO";27
"431410 PASSO FUNDO";871
"431413 PAULO BENTO";6
"431415 PAVERAMA";37
"431417 PEDRAS ALTAS";7
"431420 PEDRO OSORIO";48
"431430 PEJUCARA";23
"431440 PELOTAS";1705
"431442 PICADA CAFE";11
"431445 PINHAL";8
"431446 PINHAL DA SERRA";5
"431447 PINHAL GRANDE";14
"431449 PINHEIRINHO DO VALE";16
"431450 PINHEIRO MACHADO";75
"431454 PINTO BANDEIRA";5
