 Óbitos por causas evitáveis de 5 a 74 anos - Santa Catarina
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - SC";6
"420005 ABDON BATISTA";9
"420010 ABELARDO LUZ";73
"420020 AGROLANDIA";42
"420030 AGRONOMICA";29
"420040 AGUA DOCE";31
"420050 AGUAS DE CHAPECO";21
"420055 AGUAS FRIAS";9
"420060 AGUAS MORNAS";30
"420070 ALFREDO WAGNER";30
"420075 ALTO BELA VISTA";7
"420080 ANCHIETA";17
"420090 ANGELINA";22
"420100 ANITA GARIBALDI";35
"420110 ANITAPOLIS";9
"420120 ANTONIO CARLOS";23
"420125 APIUNA";41
"420127 ARABUTA";16
"420130 ARAQUARI";131
"420140 ARARANGUA";284
"420150 ARMAZEM";38
"420160 ARROIO TRINTA";10
"420165 ARVOREDO";4
"420170 ASCURRA";33
"420180 ATALANTA";20
"420190 AURORA";24
"420195 BALNEARIO ARROIO DO SILVA";86
"420200 BALNEARIO CAMBORIU";452
"420205 BALNEARIO BARRA DO SUL";84
"420207 BALNEARIO GAIVOTA";63
"420208 BANDEIRANTE";6
"420209 BARRA BONITA";7
"420210 BARRA VELHA";176
"420213 BELA VISTA DO TOLDO";19
"420215 BELMONTE";14
"420220 BENEDITO NOVO";37
"420230 BIGUACU";298
"420240 BLUMENAU";1119
"420243 BOCAINA DO SUL";15
"420245 BOMBINHAS";57
"420250 BOM JARDIM DA SERRA";19
"420253 BOM JESUS";12
"420257 BOM JESUS DO OESTE";3
"420260 BOM RETIRO";45
"420270 BOTUVERA";19
"420280 BRACO DO NORTE";131
"420285 BRACO DO TROMBUDO";14
"420287 BRUNOPOLIS";10
"420290 BRUSQUE";445
"420300 CACADOR";348
"420310 CAIBI";7
"420315 CALMON";22
"420320 CAMBORIU";299
"420325 CAPAO ALTO";20
"420330 CAMPO ALEGRE";56
"420340 CAMPO BELO DO SUL";43
"420350 CAMPO ERE";32
"420360 CAMPOS NOVOS";160
"420370 CANELINHA";34
"420380 CANOINHAS";242
"420390 CAPINZAL";81
"420395 CAPIVARI DE BAIXO";112
"420400 CATANDUVAS";51
"420410 CAXAMBU DO SUL";21
"420415 CELSO RAMOS";11
"420417 CERRO NEGRO";14
"420419 CHAPADAO DO LAGEADO";6
"420420 CHAPECO";605
"420425 COCAL DO SUL";60
"420430 CONCORDIA";254
"420435 CORDILHEIRA ALTA";20
"420440 CORONEL FREITAS";38
"420445 CORONEL MARTINS";1
"420450 CORUPA";57
"420455 CORREIA PINTO";79
"420460 CRICIUMA";864
"420470 CUNHA PORA";36
"420475 CUNHATAI";9
"420480 CURITIBANOS";192
"420490 DESCANSO";20
"420500 DIONISIO CERQUEIRA";77
"420510 DONA EMMA";11
"420515 DOUTOR PEDRINHO";15
"420517 ENTRE RIOS";18
"420519 ERMO";11
"420520 ERVAL VELHO";30
"420530 FAXINAL DOS GUEDES";48
"420535 FLOR DO SERTAO";3
"420540 FLORIANOPOLIS";1508
"420543 FORMOSA DO SUL";6
"420545 FORQUILHINHA";78
"420550 FRAIBURGO";143
"420555 FREI ROGERIO";6
"420560 GALVAO";10
"420570 GAROPABA";80
"420580 GARUVA";75
"420590 GASPAR";265
"420600 GOVERNADOR CELSO RAMOS";63
"420610 GRAO-PARA";22
"420620 GRAVATAL";52
"420630 GUABIRUBA";70
"420640 GUARACIABA";34
"420650 GUARAMIRIM";131
"420660 GUARUJA DO SUL";16
"420665 GUATAMBU";22
"420670 HERVAL D'OESTE";81
"420675 IBIAM";5
"420680 IBICARE";12
"420690 IBIRAMA";86
"420700 ICARA";219
"420710 ILHOTA";56
"420720 IMARUI";51
"420730 IMBITUBA";228
"420740 IMBUIA";33
"420750 INDAIAL";216
"420757 IOMERE";5
"420760 IPIRA";23
"420765 IPORA DO OESTE";28
"420768 IPUACU";22
"420770 IPUMIRIM";17
"420775 IRACEMINHA";12
"420780 IRANI";38
"420785 IRATI";13
"420790 IRINEOPOLIS";43
"420800 ITA";26
"420810 ITAIOPOLIS";98
"420820 ITAJAI";934
"420830 ITAPEMA";286
"420840 ITAPIRANGA";43
"420845 ITAPOA";124
"420850 ITUPORANGA";112
"420860 JABORA";16
"420870 JACINTO MACHADO";54
"420880 JAGUARUNA";116
"420890 JARAGUA DO SUL";536
"420895 JARDINOPOLIS";7
"420900 JOACABA";83
"420910 JOINVILLE";1987
"420915 JOSE BOITEUX";21
"420917 JUPIA";5
"420920 LACERDOPOLIS";5
"420930 LAGES";806
"420940 LAGUNA";215
"420945 LAJEADO GRANDE";8
"420950 LAURENTINO";24
"420960 LAURO MULLER";81
"420970 LEBON REGIS";66
"420980 LEOBERTO LEAL";11
"420985 LINDOIA DO SUL";19
"420990 LONTRAS";42
"421000 LUIZ ALVES";41
