 Óbitos por causas evitáveis de 5 a 74 anos - Sergipe
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - SE";1
"280010 AMPARO DE SAO FRANCISCO";10
"280020 AQUIDABA";95
"280030 ARACAJU";2590
"280040 ARAUA";42
"280050 AREIA BRANCA";78
"280060 BARRA DOS COQUEIROS";153
"280067 BOQUIM";107
"280070 BREJO GRANDE";38
"280100 CAMPO DO BRITO";64
"280110 CANHOBA";20
"280120 CANINDE DE SAO FRANCISCO";130
"280130 CAPELA";140
"280140 CARIRA";90
"280150 CARMOPOLIS";50
"280160 CEDRO DE SAO JOAO";23
"280170 CRISTINAPOLIS";82
"280190 CUMBE";10
"280200 DIVINA PASTORA";22
"280210 ESTANCIA";334
"280220 FEIRA NOVA";21
"280230 FREI PAULO";81
"280240 GARARU";34
"280250 GENERAL MAYNARD";12
"280260 GRACHO CARDOSO";23
"280270 ILHA DAS FLORES";37
"280280 INDIAROBA";80
"280290 ITABAIANA";439
"280300 ITABAIANINHA";159
"280310 ITABI";16
"280320 ITAPORANGA D'AJUDA";125
"280330 JAPARATUBA";66
"280340 JAPOATA";54
"280350 LAGARTO";409
"280360 LARANJEIRAS";119
"280370 MACAMBIRA";22
"280380 MALHADA DOS BOIS";21
"280390 MALHADOR";52
"280400 MARUIM";85
"280410 MOITA BONITA";46
"280420 MONTE ALEGRE DE SERGIPE";45
"280430 MURIBECA";33
"280440 NEOPOLIS";71
"280445 NOSSA SENHORA APARECIDA";26
"280450 NOSSA SENHORA DA GLORIA";152
"280460 NOSSA SENHORA DAS DORES";121
"280470 NOSSA SENHORA DE LOURDES";25
"280480 NOSSA SENHORA DO SOCORRO";814
"280490 PACATUBA";59
"280500 PEDRA MOLE";16
"280510 PEDRINHAS";36
"280520 PINHAO";30
"280530 PIRAMBU";36
"280540 POCO REDONDO";102
"280550 POCO VERDE";93
"280560 PORTO DA FOLHA";89
"280570 PROPRIA";155
"280580 RIACHAO DO DANTAS";65
"280590 RIACHUELO";50
"280600 RIBEIROPOLIS";61
"280610 ROSARIO DO CATETE";36
"280620 SALGADO";72
"280630 SANTA LUZIA DO ITANHY";40
"280640 SANTANA DO SAO FRANCISCO";29
"280650 SANTA ROSA DE LIMA";19
"280660 SANTO AMARO DAS BROTAS";50
"280670 SAO CRISTOVAO";357
"280680 SAO DOMINGOS";32
"280690 SAO FRANCISCO";18
"280700 SAO MIGUEL DO ALEIXO";15
"280710 SIMAO DIAS";162
"280720 SIRIRI";35
"280730 TELHA";20
"280740 TOBIAS BARRETO";180
"280750 TOMAR DO GERU";55
"280760 UMBAUBA";122
"Total";9301
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
