 Óbitos por causas evitáveis de 5 a 74 anos - Alagoas
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - AL";1
"270010 AGUA BRANCA";59
"270020 ANADIA";71
"270030 ARAPIRACA";933
"270040 ATALAIA";209
"270050 BARRA DE SANTO ANTONIO";98
"270060 BARRA DE SAO MIGUEL";30
"270070 BATALHA";63
"270080 BELEM";26
"270090 BELO MONTE";14
"270100 BOCA DA MATA";94
"270110 BRANQUINHA";47
"270120 CACIMBINHAS";38
"270130 CAJUEIRO";89
"270135 CAMPESTRE";20
"270140 CAMPO ALEGRE";142
"270150 CAMPO GRANDE";47
"270160 CANAPI";78
"270170 CAPELA";58
"270180 CARNEIROS";31
"270190 CHA PRETA";24
"270200 COITE DO NOIA";53
"270210 COLONIA LEOPOLDINA";83
"270220 COQUEIRO SECO";25
"270230 CORURIPE";226
"270235 CRAIBAS";87
"270240 DELMIRO GOUVEIA";218
"270250 DOIS RIACHOS";47
"270255 ESTRELA DE ALAGOAS";64
"270260 FEIRA GRANDE";87
"270270 FELIZ DESERTO";16
"270280 FLEXEIRAS";62
"270290 GIRAU DO PONCIANO";132
"270300 IBATEGUARA";53
"270310 IGACI";124
"270320 IGREJA NOVA";76
"270330 INHAPI";68
"270340 JACARE DOS HOMENS";24
"270350 JACUIPE";25
"270360 JAPARATINGA";42
"270370 JARAMATAIA";23
"270375 JEQUIA DA PRAIA";33
"270380 JOAQUIM GOMES";93
"270390 JUNDIA";15
"270400 JUNQUEIRO";95
"270410 LAGOA DA CANOA";73
"270420 LIMOEIRO DE ANADIA";89
"270430 MACEIO";4376
"270440 MAJOR ISIDORO";62
"270450 MARAGOGI";123
"270460 MARAVILHA";47
"270470 MARECHAL DEODORO";244
"270480 MARIBONDO";59
"270490 MAR VERMELHO";10
"270500 MATA GRANDE";83
"270510 MATRIZ DE CAMARAGIBE";126
"270520 MESSIAS";75
"270530 MINADOR DO NEGRAO";20
"270540 MONTEIROPOLIS";20
"270550 MURICI";122
"270560 NOVO LINO";43
"270570 OLHO D'AGUA DAS FLORES";85
"270580 OLHO D'AGUA DO CASADO";34
"270590 OLHO D'AGUA GRANDE";23
"270600 OLIVENCA";39
"270610 OURO BRANCO";45
"270620 PALESTINA";13
"270630 PALMEIRA DOS INDIOS";337
"270640 PAO DE ACUCAR";80
"270642 PARICONHA";44
"270644 PARIPUEIRA";52
"270650 PASSO DE CAMARAGIBE";60
"270660 PAULO JACINTO";38
"270670 PENEDO";248
"270680 PIACABUCU";82
"270690 PILAR";188
"270700 PINDOBA";10
"270710 PIRANHAS";101
"270720 POCO DAS TRINCHEIRAS";48
"270730 PORTO CALVO";114
"270740 PORTO DE PEDRAS";36
"270750 PORTO REAL DO COLEGIO";75
"270760 QUEBRANGULO";47
"270770 RIO LARGO";416
"270780 ROTEIRO";31
"270790 SANTA LUZIA DO NORTE";31
"270800 SANTANA DO IPANEMA";185
"270810 SANTANA DO MUNDAU";51
"270820 SAO BRAS";29
"270830 SAO JOSE DA LAJE";91
"270840 SAO JOSE DA TAPERA";104
"270850 SAO LUIS DO QUITUNDE";129
"270860 SAO MIGUEL DOS CAMPOS";245
"270870 SAO MIGUEL DOS MILAGRES";32
"270880 SAO SEBASTIAO";129
"270890 SATUBA";96
"270895 SENADOR RUI PALMEIRA";43
"270900 TANQUE D'ARCA";25
"270910 TAQUARANA";98
"270915 TEOTONIO VILELA";163
"270920 TRAIPU";81
"270930 UNIAO DOS PALMARES";339
"270940 VICOSA";90
"Total";13722
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
