 Óbitos por causas evitáveis de 5 a 74 anos - Amapá
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
"160005 SERRA DO NAVIO";13
"160010 AMAPA";28
"160015 PEDRA BRANCA DO AMAPARI";27
"160020 CALCOENE";28
"160021 CUTIAS";11
"160023 FERREIRA GOMES";10
"160025 ITAUBAL";11
"160027 LARANJAL DO JARI";121
"160030 MACAPA";1615
"160040 MAZAGAO";44
"160050 OIAPOQUE";67
"160053 PORTO GRANDE";37
"160055 PRACUUBA";12
"160060 SANTANA";332
"160070 TARTARUGALZINHO";29
"160080 VITORIA DO JARI";17
"Total";2402
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
