 Óbitos por causas evitáveis de 5 a 74 anos - Bahia
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - BA";109
"290010 ABAIRA";28
"290020 ABARE";60
"290030 ACAJUTIBA";88
"290035 ADUSTINA";50
"290040 AGUA FRIA";60
"290050 ERICO CARDOSO";31
"290060 AIQUARA";16
"290070 ALAGOINHAS";651
"290080 ALCOBACA";129
"290090 ALMADINA";44
"290100 AMARGOSA";151
"290110 AMELIA RODRIGUES";93
"290115 AMERICA DOURADA";50
"290120 ANAGE";78
"290130 ANDARAI";38
"290135 ANDORINHA";72
"290140 ANGICAL";57
"290150 ANGUERA";45
"290160 ANTAS";53
"290170 ANTONIO CARDOSO";49
"290180 ANTONIO GONCALVES";54
"290190 APORA";63
"290195 APUAREMA";39
"290200 ARACATU";45
"290205 ARACAS";47
"290210 ARACI";139
"290220 ARAMARI";47
"290225 ARATACA";35
"290230 ARATUIPE";37
"290240 AURELINO LEAL";85
"290250 BAIANOPOLIS";51
"290260 BAIXA GRANDE";75
"290265 BANZAE";45
"290270 BARRA";205
"290280 BARRA DA ESTIVA";74
"290290 BARRA DO CHOCA";162
"290300 BARRA DO MENDES";59
"290310 BARRA DO ROCHA";22
"290320 BARREIRAS";523
"290323 BARRO ALTO";54
"290327 BARROCAS";49
"290330 BARRO PRETO";33
"290340 BELMONTE";122
"290350 BELO CAMPO";84
"290360 BIRITINGA";61
"290370 BOA NOVA";61
"290380 BOA VISTA DO TUPIM";35
"290390 BOM JESUS DA LAPA";245
"290395 BOM JESUS DA SERRA";43
"290400 BONINAL";39
"290405 BONITO";50
"290410 BOQUIRA";73
"290420 BOTUPORA";27
"290430 BREJOES";53
"290440 BREJOLANDIA";26
"290450 BROTAS DE MACAUBAS";50
"290460 BRUMADO";241
"290470 BUERAREMA";107
"290475 BURITIRAMA";63
"290480 CAATIBA";26
"290485 CABACEIRAS DO PARAGUACU";66
"290490 CACHOEIRA";142
"290500 CACULE";99
"290510 CAEM";54
"290515 CAETANOS";28
