 Óbitos por causas evitáveis de 5 a 74 anos - Goiás
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - GO";33
"520005 ABADIA DE GOIAS";78
"520010 ABADIANIA";71
"520013 ACREUNA";107
"520015 ADELANDIA";10
"520017 AGUA FRIA DE GOIAS";11
"520020 AGUA LIMPA";13
"520025 AGUAS LINDAS DE GOIAS";654
"520030 ALEXANIA";132
"520050 ALOANDIA";6
"520055 ALTO HORIZONTE";18
"520060 ALTO PARAISO DE GOIAS";28
"520080 ALVORADA DO NORTE";36
"520082 AMARALINA";8
"520085 AMERICANO DO BRASIL";36
"520090 AMORINOPOLIS";13
"520110 ANAPOLIS";1652
"520120 ANHANGUERA";9
"520130 ANICUNS";83
"520140 APARECIDA DE GOIANIA";2102
"520145 APARECIDA DO RIO DOCE";15
"520150 APORE";21
"520160 ARACU";14
"520170 ARAGARCAS";82
"520180 ARAGOIANIA";55
"520215 ARAGUAPAZ";43
"520235 ARENOPOLIS";14
"520250 ARUANA";35
"520260 AURILANDIA";17
"520280 AVELINOPOLIS";13
"520310 BALIZA";18
"520320 BARRO ALTO";31
"520330 BELA VISTA DE GOIAS";143
"520340 BOM JARDIM DE GOIAS";43
"520350 BOM JESUS DE GOIAS";104
"520355 BONFINOPOLIS";37
"520357 BONOPOLIS";10
"520360 BRAZABRANTES";20
"520380 BRITANIA";34
"520390 BURITI ALEGRE";61
"520393 BURITI DE GOIAS";10
"520396 BURITINOPOLIS";13
"520400 CABECEIRAS";33
"520410 CACHOEIRA ALTA";46
"520420 CACHOEIRA DE GOIAS";7
"520425 CACHOEIRA DOURADA";31
"520430 CACU";61
"520440 CAIAPONIA";73
"520450 CALDAS NOVAS";333
"520455 CALDAZINHA";14
"520460 CAMPESTRE DE GOIAS";10
"520465 CAMPINACU";18
"520470 CAMPINORTE";36
"520480 CAMPO ALEGRE DE GOIAS";31
"520485 CAMPO LIMPO DE GOIAS";34
"520490 CAMPOS BELOS";67
"520495 CAMPOS VERDES";32
"520500 CARMO DO RIO VERDE";55
"520505 CASTELANDIA";22
"520510 CATALAO";436
"520520 CATURAI";28
"520530 CAVALCANTE";27
"520540 CERES";79
"520545 CEZARINA";47
"520547 CHAPADAO DO CEU";34
"520549 CIDADE OCIDENTAL";253
"520551 COCALZINHO DE GOIAS";77
"520552 COLINAS DO SUL";20
"520570 CORREGO DO OURO";10
"520580 CORUMBA DE GOIAS";59
"520590 CORUMBAIBA";41
"520620 CRISTALINA";188
"520630 CRISTIANOPOLIS";28
"520640 CRIXAS";69
"520650 CROMINIA";26
"520660 CUMARI";15
"520670 DAMIANOPOLIS";4
"520680 DAMOLANDIA";17
"520690 DAVINOPOLIS";12
"520710 DIORAMA";10
"520725 DOVERLANDIA";27
"520735 EDEALINA";21
"520740 EDEIA";51
"520750 ESTRELA DO NORTE";22
"520753 FAINA";28
"520760 FAZENDA NOVA";27
"520780 FIRMINOPOLIS";50
"520790 FLORES DE GOIAS";35
"520800 FORMOSA";424
"520810 FORMOSO";22
"520815 GAMELEIRA DE GOIAS";18
"520830 DIVINOPOLIS DE GOIAS";36
"520840 GOIANAPOLIS";59
"520850 GOIANDIRA";27
"520860 GOIANESIA";288
"520870 GOIANIA";5436
"520880 GOIANIRA";244
"520890 GOIAS";103
"520910 GOIATUBA";154
"520915 GOUVELANDIA";24
"520920 GUAPO";92
"520929 GUARAITA";11
"520940 GUARANI DE GOIAS";15
"520945 GUARINOS";18
"520960 HEITORAI";10
"520970 HIDROLANDIA";106
"520980 HIDROLINA";16
"520990 IACIARA";54
"520993 INACIOLANDIA";26
"520995 INDIARA";65
"521000 INHUMAS";265
"521010 IPAMERI";125
"521015 IPIRANGA DE GOIAS";16
"521020 IPORA";149
"521030 ISRAELANDIA";16
"521040 ITABERAI";164
"521056 ITAGUARI";27
"521060 ITAGUARU";22
"521080 ITAJA";24
"521090 ITAPACI";76
"521100 ITAPIRAPUA";43
"521120 ITAPURANGA";158
"521130 ITARUMA";19
"521140 ITAUCU";51
"521150 ITUMBIARA";495
"521160 IVOLANDIA";13
"521170 JANDAIA";31
"521180 JARAGUA";220
"521190 JATAI";401
"521200 JAUPACI";13
"521205 JESUPOLIS";5
"521210 JOVIANIA";42
"521220 JUSSARA";82
"521225 LAGOA SANTA";4
"521230 LEOPOLDO DE BULHOES";30
"521250 LUZIANIA";795
"521260 MAIRIPOTABA";10
"521270 MAMBAI";26
"521280 MARA ROSA";48
"521290 MARZAGAO";12
"521295 MATRINCHA";18
"521300 MAURILANDIA";51
"521305 MIMOSO DE GOIAS";8
"521308 MINACU";132
"521310 MINEIROS";220
"521340 MOIPORA";7
"521350 MONTE ALEGRE DE GOIAS";25
"521370 MONTES CLAROS DE GOIAS";46
"521375 MONTIVIDIU";31
"521377 MONTIVIDIU DO NORTE";15
"521380 MORRINHOS";222
"521385 MORRO AGUDO DE GOIAS";9
"521390 MOSSAMEDES";14
"521400 MOZARLANDIA";62
"521405 MUNDO NOVO";41
"521410 MUTUNOPOLIS";20
"521440 NAZARIO";39
"521450 NEROPOLIS";144
"521460 NIQUELANDIA";152
"521470 NOVA AMERICA";17
"521480 NOVA AURORA";12
"521483 NOVA CRIXAS";51
"521486 NOVA GLORIA";35
"521487 NOVA IGUACU DE GOIAS";17
"521490 NOVA ROMA";8
"521500 NOVA VENEZA";51
"521520 NOVO BRASIL";16
"521523 NOVO GAMA";303
"521525 NOVO PLANALTO";19
"521530 ORIZONA";61
"521540 OURO VERDE DE GOIAS";26
"521550 OUVIDOR";29
"521560 PADRE BERNARDO";114
"521565 PALESTINA DE GOIAS";9
"521570 PALMEIRAS DE GOIAS";128
"521580 PALMELO";18
"521590 PALMINOPOLIS";17
"521600 PANAMA";19
"521630 PARANAIGUARA";48
"521640 PARAUNA";52
"521645 PEROLANDIA";10
"521680 PETROLINA DE GOIAS";46
"521690 PILAR DE GOIAS";8
"521710 PIRACANJUBA";119
"521720 PIRANHAS";63
"521730 PIRENOPOLIS";103
"521740 PIRES DO RIO";163
"521760 PLANALTINA";342
"521770 PONTALINA";105
"521800 PORANGATU";193
"521805 PORTEIRAO";16
"521810 PORTELANDIA";11
"521830 POSSE";136
"521839 PROFESSOR JAMIL";17
"521850 QUIRINOPOLIS";222
"521860 RIALMA";61
"521870 RIANAPOLIS";15
"521878 RIO QUENTE";17
"521880 RIO VERDE";710
"521890 RUBIATABA";94
"521900 SANCLERLANDIA";38
"521910 SANTA BARBARA DE GOIAS";33
"521920 SANTA CRUZ DE GOIAS";14
"521925 SANTA FE DE GOIAS";26
"521930 SANTA HELENA DE GOIAS";170
"521935 SANTA ISABEL";13
"521940 SANTA RITA DO ARAGUAIA";25
"521945 SANTA RITA DO NOVO DESTINO";7
"521950 SANTA ROSA DE GOIAS";22
"521960 SANTA TEREZA DE GOIAS";19
"521970 SANTA TEREZINHA DE GOIAS";33
"521971 SANTO ANTONIO DA BARRA";35
"521973 SANTO ANTONIO DE GOIAS";28
"521975 SANTO ANTONIO DO DESCOBERTO";244
"521980 SAO DOMINGOS";49
"521990 SAO FRANCISCO DE GOIAS";30
"522000 SAO JOAO D'ALIANCA";26
"522005 SAO JOAO DA PARAUNA";11
"522010 SAO LUIS DE MONTES BELOS";155
"522015 SAO LUIZ DO NORTE";27
"522020 SAO MIGUEL DO ARAGUAIA";117
"522026 SAO MIGUEL DO PASSA QUATRO";41
"522028 SAO PATRICIO";14
"522040 SAO SIMAO";87
"522045 SENADOR CANEDO";537
"522050 SERRANOPOLIS";29
"522060 SILVANIA";85
"522068 SIMOLANDIA";29
"522070 SITIO D'ABADIA";6
"522100 TAQUARAL DE GOIAS";13
"522108 TERESINA DE GOIAS";8
"522119 TEREZOPOLIS DE GOIAS";35
"522130 TRES RANCHOS";12
"522140 TRINDADE";612
"522145 TROMBAS";13
"522150 TURVANIA";25
"522155 TURVELANDIA";11
"522157 UIRAPURU";9
"522160 URUACU";191
"522170 URUANA";66
"522180 URUTAI";12
"522185 VALPARAISO DE GOIAS";523
"522190 VARJAO";14
"522200 VIANOPOLIS";72
"522205 VICENTINOPOLIS";32
"522220 VILA BOA";15
"522230 VILA PROPICIO";24
"Total";27601
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
