 Óbitos por causas evitáveis de 5 a 74 anos - Mato Grosso do Sul
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - MS";2
"500020 AGUA CLARA";59
"500025 ALCINOPOLIS";16
"500060 AMAMBAI";196
"500070 ANASTACIO";109
"500080 ANAURILANDIA";33
"500085 ANGELICA";53
"500090 ANTONIO JOAO";36
"500100 APARECIDA DO TABOADO";119
"500110 AQUIDAUANA";229
"500124 ARAL MOREIRA";54
"500150 BANDEIRANTES";37
"500190 BATAGUASSU";109
"500200 BATAYPORA";46
"500210 BELA VISTA";100
"500215 BODOQUENA";35
"500220 BONITO";84
"500230 BRASILANDIA";49
"500240 CAARAPO";150
"500260 CAMAPUA";52
"500270 CAMPO GRANDE";3707
"500280 CARACOL";24
"500290 CASSILANDIA";122
"500295 CHAPADAO DO SUL";73
"500310 CORGUINHO";15
"500315 CORONEL SAPUCAIA";90
"500320 CORUMBA";460
"500325 COSTA RICA";107
"500330 COXIM";165
"500345 DEODAPOLIS";59
"500348 DOIS IRMAOS DO BURITI";42
"500350 DOURADINA";21
"500370 DOURADOS";1009
"500375 ELDORADO";54
"500380 FATIMA DO SUL";108
"500390 FIGUEIRAO";14
"500400 GLORIA DE DOURADOS";53
"500410 GUIA LOPES DA LAGUNA";60
"500430 IGUATEMI";63
"500440 INOCENCIA";38
"500450 ITAPORA";86
"500460 ITAQUIRAI";94
"500470 IVINHEMA";108
"500480 JAPORA";53
"500490 JARAGUARI";23
"500500 JARDIM";120
"500510 JATEI";11
"500515 JUTI";34
"500520 LADARIO";88
"500525 LAGUNA CARAPA";31
"500540 MARACAJU";143
"500560 MIRANDA";101
"500568 MUNDO NOVO";95
"500570 NAVIRAI";206
"500580 NIOAQUE";47
"500600 NOVA ALVORADA DO SUL";83
"500620 NOVA ANDRADINA";220
"500625 NOVO HORIZONTE DO SUL";14
"500627 PARAISO DAS AGUAS";10
"500630 PARANAIBA";241
"500635 PARANHOS";48
"500640 PEDRO GOMES";37
"500660 PONTA PORA";428
"500690 PORTO MURTINHO";44
"500710 RIBAS DO RIO PARDO";101
"500720 RIO BRILHANTE";125
"500730 RIO NEGRO";25
"500740 RIO VERDE DE MATO GROSSO";88
"500750 ROCHEDO";29
"500755 SANTA RITA DO PARDO";26
"500769 SAO GABRIEL DO OESTE";97
"500770 SETE QUEDAS";49
"500780 SELVIRIA";44
"500790 SIDROLANDIA";199
"500793 SONORA";61
"500795 TACURU";41
"500797 TAQUARUSSU";18
"500800 TERENOS";79
"500830 TRES LAGOAS";547
"500840 VICENTINA";39
"Total";11785
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
