 Óbitos por causas evitáveis de 5 a 74 anos - Piauí
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - PI";7
"220005 ACAUA";19
"220010 AGRICOLANDIA";24
"220020 AGUA BRANCA";74
"220025 ALAGOINHA DO PIAUI";27
"220027 ALEGRETE DO PIAUI";19
"220030 ALTO LONGA";63
"220040 ALTOS";167
"220045 ALVORADA DO GURGUEIA";13
"220050 AMARANTE";71
"220060 ANGICAL DO PIAUI";35
"220070 ANISIO DE ABREU";39
"220080 ANTONIO ALMEIDA";10
"220090 AROAZES";17
"220095 AROEIRAS DO ITAIM";6
"220100 ARRAIAL";9
"220105 ASSUNCAO DO PIAUI";26
"220110 AVELINO LOPES";40
"220115 BAIXA GRANDE DO RIBEIRO";41
"220117 BARRA D'ALCANTARA";14
"220120 BARRAS";162
"220130 BARREIRAS DO PIAUI";6
"220140 BARRO DURO";28
"220150 BATALHA";101
"220155 BELA VISTA DO PIAUI";11
"220157 BELEM DO PIAUI";9
"220160 BENEDITINOS";31
"220170 BERTOLINIA";24
"220173 BETANIA DO PIAUI";19
"220177 BOA HORA";30
"220180 BOCAINA";26
"220190 BOM JESUS";93
"220191 BOM PRINCIPIO DO PIAUI";30
"220192 BONFIM DO PIAUI";16
"220194 BOQUEIRAO DO PIAUI";22
"220196 BRASILEIRA";25
"220198 BREJO DO PIAUI";11
"220200 BURITI DOS LOPES";84
"220202 BURITI DOS MONTES";19
"220205 CABECEIRAS DO PIAUI";37
"220207 CAJAZEIRAS DO PIAUI";10
"220208 CAJUEIRO DA PRAIA";35
"220209 CALDEIRAO GRANDE DO PIAUI";17
"220210 CAMPINAS DO PIAUI";23
"220211 CAMPO ALEGRE DO FIDALGO";16
"220213 CAMPO GRANDE DO PIAUI";28
"220217 CAMPO LARGO DO PIAUI";17
"220220 CAMPO MAIOR";217
"220225 CANAVIEIRA";13
"220230 CANTO DO BURITI";80
"220240 CAPITAO DE CAMPOS";42
"220245 CAPITAO GERVASIO OLIVEIRA";16
"220250 CARACOL";30
"220253 CARAUBAS DO PIAUI";17
"220255 CARIDADE DO PIAUI";19
"220260 CASTELO DO PIAUI";71
"220265 CAXINGO";13
"220270 COCAL";88
"220271 COCAL DE TELHA";14
"220272 COCAL DOS ALVES";22
"220273 COIVARAS";15
"220275 COLONIA DO GURGUEIA";24
"220277 COLONIA DO PIAUI";31
"220280 CONCEICAO DO CANINDE";23
"220285 CORONEL JOSE DIAS";16
"220290 CORRENTE";99
"220300 CRISTALANDIA DO PIAUI";21
"220310 CRISTINO CASTRO";43
"220320 CURIMATA";39
"220323 CURRAIS";15
"220325 CURRALINHOS";12
"220327 CURRAL NOVO DO PIAUI";10
"220330 DEMERVAL LOBAO";54
"220335 DIRCEU ARCOVERDE";31
"220340 DOM EXPEDITO LOPES";24
"220342 DOMINGOS MOURAO";11
"220345 DOM INOCENCIO";34
"220350 ELESBAO VELOSO";52
"220360 ELISEU MARTINS";15
"220370 ESPERANTINA";179
"220375 FARTURA DO PIAUI";11
"220380 FLORES DO PIAUI";19
"220385 FLORESTA DO PIAUI";7
"220390 FLORIANO";243
"220400 FRANCINOPOLIS";38
"220410 FRANCISCO AYRES";15
"220415 FRANCISCO MACEDO";10
"220420 FRANCISCO SANTOS";45
"220430 FRONTEIRAS";49
"220435 GEMINIANO";28
"220440 GILBUES";29
"220450 GUADALUPE";35
"220455 GUARIBAS";13
"220460 HUGO NAPOLEAO";16
"220465 ILHA GRANDE";35
"220470 INHUMA";64
"220480 IPIRANGA DO PIAUI";52
"220490 ISAIAS COELHO";25
"220500 ITAINOPOLIS";55
"220510 ITAUEIRA";37
"220515 JACOBINA DO PIAUI";23
"220520 JAICOS";71
"220525 JARDIM DO MULATO";14
"220527 JATOBA DO PIAUI";18
"220530 JERUMENHA";18
"220535 JOAO COSTA";14
"220540 JOAQUIM PIRES";33
"220545 JOCA MARQUES";16
"220550 JOSE DE FREITAS";141
"220551 JUAZEIRO DO PIAUI";6
"220552 JULIO BORGES";11
"220553 JUREMA";17
"220554 LAGOINHA DO PIAUI";25
"220555 LAGOA ALEGRE";22
"220556 LAGOA DO BARRO DO PIAUI";28
"220557 LAGOA DE SAO FRANCISCO";22
"220558 LAGOA DO PIAUI";16
"220559 LAGOA DO SITIO";23
"220560 LANDRI SALES";24
"220570 LUIS CORREIA";162
"220580 LUZILANDIA";97
"220585 MADEIRO";18
"220590 MANOEL EMIDIO";16
"220595 MARCOLANDIA";41
"220600 MARCOS PARENTE";24
"220605 MASSAPE DO PIAUI";21
"220610 MATIAS OLIMPIO";34
"220620 MIGUEL ALVES";113
"220630 MIGUEL LEAO";7
"220635 MILTON BRANDAO";15
"220640 MONSENHOR GIL";39
"220650 MONSENHOR HIPOLITO";35
"220660 MONTE ALEGRE DO PIAUI";33
"220665 MORRO CABECA NO TEMPO";13
"220667 MORRO DO CHAPEU DO PIAUI";28
"220669 MURICI DOS PORTELAS";19
"220670 NAZARE DO PIAUI";28
"220672 NAZARIA";42
"220675 NOSSA SENHORA DE NAZARE";25
"220680 NOSSA SENHORA DOS REMEDIOS";19
"220690 NOVO ORIENTE DO PIAUI";32
"220695 NOVO SANTO ANTONIO";12
"220700 OEIRAS";166
"220710 OLHO D'AGUA DO PIAUI";11
"220720 PADRE MARCOS";33
"220730 PAES LANDIM";23
"220735 PAJEU DO PIAUI";3
"220740 PALMEIRA DO PIAUI";22
"220750 PALMEIRAIS";39
"220755 PAQUETA";15
"220760 PARNAGUA";25
"220770 PARNAIBA";631
"220775 PASSAGEM FRANCA DO PIAUI";19
"220777 PATOS DO PIAUI";24
"220779 PAU D'ARCO DO PIAUI";10
"220780 PAULISTANA";83
"220785 PAVUSSU";16
"220790 PEDRO II";153
"220793 PEDRO LAURENTINO";7
"220795 NOVA SANTA RITA";10
"220800 PICOS";323
"220810 PIMENTEIRAS";29
"220820 PIO IX";70
"220830 PIRACURUCA";105
"220840 PIRIPIRI";284
"220850 PORTO";38
"220855 PORTO ALEGRE DO PIAUI";10
"220860 PRATA DO PIAUI";12
"220865 QUEIMADA NOVA";27
"220870 REDENCAO DO GURGUEIA";25
"220880 REGENERACAO";70
"220885 RIACHO FRIO";12
"220887 RIBEIRA DO PIAUI";7
"220890 RIBEIRO GONCALVES";31
"220900 RIO GRANDE DO PIAUI";26
"220910 SANTA CRUZ DO PIAUI";19
"220915 SANTA CRUZ DOS MILAGRES";12
"220920 SANTA FILOMENA";33
"220930 SANTA LUZ";22
"220935 SANTANA DO PIAUI";8
"220937 SANTA ROSA DO PIAUI";27
"220940 SANTO ANTONIO DE LISBOA";30
"220945 SANTO ANTONIO DOS MILAGRES";5
"220950 SANTO INACIO DO PIAUI";21
"220955 SAO BRAZ DO PIAUI";27
"220960 SAO FELIX DO PIAUI";13
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";16
"220970 SAO FRANCISCO DO PIAUI";38
"220975 SAO GONCALO DO GURGUEIA";7
"220980 SAO GONCALO DO PIAUI";19
"220985 SAO JOAO DA CANABRAVA";14
"220987 SAO JOAO DA FRONTEIRA";16
"220990 SAO JOAO DA SERRA";38
"220995 SAO JOAO DA VARJOTA";27
"220997 SAO JOAO DO ARRAIAL";39
"221000 SAO JOAO DO PIAUI";63
"221005 SAO JOSE DO DIVINO";19
"221010 SAO JOSE DO PEIXE";14
"221020 SAO JOSE DO PIAUI";27
"221030 SAO JULIAO";28
"221035 SAO LOURENCO DO PIAUI";11
"221037 SAO LUIS DO PIAUI";15
"221038 SAO MIGUEL DA BAIXA GRANDE";12
"221039 SAO MIGUEL DO FIDALGO";10
"221040 SAO MIGUEL DO TAPUIO";66
"221050 SAO PEDRO DO PIAUI";61
"221060 SAO RAIMUNDO NONATO";129
"221062 SEBASTIAO BARROS";16
"221063 SEBASTIAO LEAL";18
"221065 SIGEFREDO PACHECO";39
"221070 SIMOES";44
"221080 SIMPLICIO MENDES";53
"221090 SOCORRO DO PIAUI";22
"221093 SUSSUAPARA";43
"221095 TAMBORIL DO PIAUI";7
"221097 TANQUE DO PIAUI";6
"221100 TERESINA";3364
"221110 UNIAO";193
"221120 URUCUI";103
"221130 VALENCA DO PIAUI";98
"221135 VARZEA BRANCA";19
"221140 VARZEA GRANDE";21
"221150 VERA MENDES";10
"221160 VILA NOVA DO PIAUI";12
"221170 WALL FERRAZ";16
"Total";12611
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
