 Óbitos por causas evitáveis de 5 a 74 anos - Rio de Janeiro
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - RJ";292
"330010 ANGRA DOS REIS";782
"330015 APERIBE";54
"330020 ARARUAMA";687
"330022 AREAL";65
"330023 ARMACAO DOS BUZIOS";192
"330025 ARRAIAL DO CABO";163
"330030 BARRA DO PIRAI";495
"330040 BARRA MANSA";958
"330045 BELFORD ROXO";2407
"330050 BOM JARDIM";126
"330060 BOM JESUS DO ITABAPOANA";195
"330070 CABO FRIO";1015
"330080 CACHOEIRAS DE MACACU";300
"330090 CAMBUCI";78
"330093 CARAPEBUS";58
"330095 COMENDADOR LEVY GASPARIAN";34
"330100 CAMPOS DOS GOYTACAZES";2602
"330110 CANTAGALO";85
"330115 CARDOSO MOREIRA";61
"330120 CARMO";101
"330130 CASIMIRO DE ABREU";180
"330140 CONCEICAO DE MACABU";102
"330150 CORDEIRO";113
"330160 DUAS BARRAS";60
"330170 DUQUE DE CAXIAS";4730
"330180 ENGENHEIRO PAULO DE FRONTIN";70
"330185 GUAPIMIRIM";291
"330187 IGUABA GRANDE";174
"330190 ITABORAI";1258
"330200 ITAGUAI";722
"330205 ITALVA";61
"330210 ITAOCARA";134
"330220 ITAPERUNA";508
"330225 ITATIAIA";151
"330227 JAPERI";532
"330230 LAJE DO MURIAE";46
"330240 MACAE";947
"330245 MACUCO";45
"330250 MAGE";1424
"330260 MANGARATIBA";220
"330270 MARICA";917
"330280 MENDES";115
"330285 MESQUITA";946
"330290 MIGUEL PEREIRA";129
"330300 MIRACEMA";134
"330310 NATIVIDADE";86
"330320 NILOPOLIS";868
"330330 NITEROI";2362
"330340 NOVA FRIBURGO";900
"330350 NOVA IGUACU";4507
"330360 PARACAMBI";237
"330370 PARAIBA DO SUL";237
"330380 PARATY";198
"330385 PATY DO ALFERES";112
"330390 PETROPOLIS";1716
"330395 PINHEIRAL";105
"330400 PIRAI";151
"330410 PORCIUNCULA";74
"330411 PORTO REAL";99
"330412 QUATIS";73
"330414 QUEIMADOS";803
"330415 QUISSAMA";95
"330420 RESENDE";586
"330430 RIO BONITO";276
"330440 RIO CLARO";94
"330450 RIO DAS FLORES";38
"330452 RIO DAS OSTRAS";594
"330455 RIO DE JANEIRO";30020
"330460 SANTA MARIA MADALENA";49
"330470 SANTO ANTONIO DE PADUA";211
"330475 SAO FRANCISCO DE ITABAPOANA";252
"330480 SAO FIDELIS";186
"330490 SAO GONCALO";4852
"330500 SAO JOAO DA BARRA";223
"330510 SAO JOAO DE MERITI";2503
"330513 SAO JOSE DE UBA";30
"330515 SAO JOSE DO VALE DO RIO PRETO";102
"330520 SAO PEDRO DA ALDEIA";455
"330530 SAO SEBASTIAO DO ALTO";44
"330540 SAPUCAIA";102
"330550 SAQUAREMA";490
"330555 SEROPEDICA";433
"330560 SILVA JARDIM";94
"330570 SUMIDOURO";57
"330575 TANGUA";170
"330580 TERESOPOLIS";874
"330590 TRAJANO DE MORAES";45
"330600 TRES RIOS";470
"330610 VALENCA";371
"330615 VARRE-SAI";46
"330620 VASSOURAS";232
"330630 VOLTA REDONDA";1435
"Total";82716
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
