 Óbitos por causas evitáveis de 5 a 74 anos - Rio Grande do Norte
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - RN";4
"240010 ACARI";38
"240020 ASSU";227
"240030 AFONSO BEZERRA";37
"240040 AGUA NOVA";10
"240050 ALEXANDRIA";51
"240060 ALMINO AFONSO";11
"240070 ALTO DO RODRIGUES";40
"240080 ANGICOS";54
"240090 ANTONIO MARTINS";38
"240100 APODI";127
"240110 AREIA BRANCA";123
"240120 AREZ";38
"240130 CAMPO GRANDE";32
"240140 BAIA FORMOSA";26
"240145 BARAUNA";101
"240150 BARCELONA";16
"240160 BENTO FERNANDES";13
"240165 BODO";10
"240170 BOM JESUS";41
"240180 BREJINHO";41
"240185 CAICARA DO NORTE";16
"240190 CAICARA DO RIO DO VENTO";17
"240200 CAICO";283
"240210 CAMPO REDONDO";23
"240220 CANGUARETAMA";128
"240230 CARAUBAS";98
"240240 CARNAUBA DOS DANTAS";24
"240250 CARNAUBAIS";37
"240260 CEARA-MIRIM";261
"240270 CERRO CORA";44
"240280 CORONEL EZEQUIEL";6
"240290 CORONEL JOAO PESSOA";17
"240300 CRUZETA";49
"240310 CURRAIS NOVOS";171
"240320 DOUTOR SEVERIANO";19
"240325 PARNAMIRIM";761
"240330 ENCANTO";26
"240340 EQUADOR";23
"240350 ESPIRITO SANTO";23
"240360 EXTREMOZ";186
"240370 FELIPE GUERRA";24
"240375 FERNANDO PEDROZA";17
"240380 FLORANIA";40
"240390 FRANCISCO DANTAS";14
"240400 FRUTUOSO GOMES";14
"240410 GALINHOS";2
"240420 GOIANINHA";105
"240430 GOVERNADOR DIX-SEPT ROSADO";42
"240440 GROSSOS";29
"240450 GUAMARE";73
"240460 IELMO MARINHO";44
"240470 IPANGUACU";38
"240480 IPUEIRA";4
"240485 ITAJA";25
"240490 ITAU";27
"240500 JACANA";26
"240510 JANDAIRA";20
"240520 JANDUIS";16
"240530 JANUARIO CICCO";36
"240540 JAPI";12
"240550 JARDIM DE ANGICOS";9
