 Óbitos por causas evitáveis de 5 a 74 anos - Roraima
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
"140002 AMAJARI";58
"140005 ALTO ALEGRE";98
"140010 BOA VISTA";1456
"140015 BONFIM";53
"140017 CANTA";58
"140020 CARACARAI";63
"140023 CAROEBE";21
"140028 IRACEMA";18
"140030 MUCAJAI";62
"140040 NORMANDIA";39
"140045 PACARAIMA";55
"140047 RORAINOPOLIS";88
"140050 SAO JOAO DA BALIZA";12
"140060 SAO LUIZ DO ANAUA";13
"140070 UIRAMUTA";41
"Total";2135
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
