 Óbitos por causas evitáveis de 5 a 74 anos - Santa Catarina
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - SC";11
"420005 ABDON BATISTA";6
"420010 ABELARDO LUZ";66
"420020 AGROLANDIA";52
"420030 AGRONOMICA";22
"420040 AGUA DOCE";21
"420050 AGUAS DE CHAPECO";29
"420055 AGUAS FRIAS";7
"420060 AGUAS MORNAS";30
"420070 ALFREDO WAGNER";39
"420075 ALTO BELA VISTA";11
"420080 ANCHIETA";18
"420090 ANGELINA";18
"420100 ANITA GARIBALDI";47
"420110 ANITAPOLIS";11
"420120 ANTONIO CARLOS";21
"420125 APIUNA";54
"420127 ARABUTA";14
"420130 ARAQUARI";140
"420140 ARARANGUA";282
"420150 ARMAZEM";33
"420160 ARROIO TRINTA";7
"420165 ARVOREDO";12
"420170 ASCURRA";34
"420180 ATALANTA";10
"420190 AURORA";26
"420195 BALNEARIO ARROIO DO SILVA";84
"420200 BALNEARIO CAMBORIU";423
"420205 BALNEARIO BARRA DO SUL";64
"420207 BALNEARIO GAIVOTA";77
"420208 BANDEIRANTE";17
"420209 BARRA BONITA";7
"420210 BARRA VELHA";180
"420213 BELA VISTA DO TOLDO";22
"420215 BELMONTE";14
"420220 BENEDITO NOVO";52
"420230 BIGUACU";258
"420240 BLUMENAU";1178
"420243 BOCAINA DO SUL";19
"420245 BOMBINHAS";60
"420250 BOM JARDIM DA SERRA";23
"420253 BOM JESUS";10
"420257 BOM JESUS DO OESTE";6
"420260 BOM RETIRO";49
"420270 BOTUVERA";26
"420280 BRACO DO NORTE";131
"420285 BRACO DO TROMBUDO";21
"420287 BRUNOPOLIS";14
"420290 BRUSQUE";441
"420300 CACADOR";338
"420310 CAIBI";27
"420315 CALMON";12
"420320 CAMBORIU";358
"420325 CAPAO ALTO";13
"420330 CAMPO ALEGRE";50
"420340 CAMPO BELO DO SUL";32
"420350 CAMPO ERE";32
"420360 CAMPOS NOVOS";167
"420370 CANELINHA";57
"420380 CANOINHAS";225
"420390 CAPINZAL";75
"420395 CAPIVARI DE BAIXO";127
"420400 CATANDUVAS";41
"420410 CAXAMBU DO SUL";23
"420415 CELSO RAMOS";11
"420417 CERRO NEGRO";13
"420419 CHAPADAO DO LAGEADO";6
"420420 CHAPECO";733
"420425 COCAL DO SUL";70
"420430 CONCORDIA";254
"420435 CORDILHEIRA ALTA";18
"420440 CORONEL FREITAS";54
"420445 CORONEL MARTINS";4
"420450 CORUPA";47
"420455 CORREIA PINTO";71
"420460 CRICIUMA";864
"420470 CUNHA PORA";55
"420475 CUNHATAI";6
"420480 CURITIBANOS";235
"420490 DESCANSO";27
"420500 DIONISIO CERQUEIRA";71
