 Óbitos por causas evitáveis de 5 a 74 anos - Sergipe
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
"280010 AMPARO DE SAO FRANCISCO";15
"280020 AQUIDABA";90
"280030 ARACAJU";2191
"280040 ARAUA";50
"280050 AREIA BRANCA";70
"280060 BARRA DOS COQUEIROS";111
"280067 BOQUIM";100
"280070 BREJO GRANDE";26
"280100 CAMPO DO BRITO";76
"280110 CANHOBA";14
"280120 CANINDE DE SAO FRANCISCO";107
"280130 CAPELA";134
"280140 CARIRA";72
"280150 CARMOPOLIS";47
"280160 CEDRO DE SAO JOAO";26
"280170 CRISTINAPOLIS";66
"280190 CUMBE";12
"280200 DIVINA PASTORA";10
"280210 ESTANCIA";263
"280220 FEIRA NOVA";29
"280230 FREI PAULO";69
"280240 GARARU";34
"280250 GENERAL MAYNARD";11
"280260 GRACHO CARDOSO";24
"280270 ILHA DAS FLORES";33
"280280 INDIAROBA";54
"280290 ITABAIANA";392
"280300 ITABAIANINHA";123
"280310 ITABI";18
"280320 ITAPORANGA D'AJUDA";144
"280330 JAPARATUBA";68
"280340 JAPOATA";52
"280350 LAGARTO";411
"280360 LARANJEIRAS";95
"280370 MACAMBIRA";31
"280380 MALHADA DOS BOIS";15
"280390 MALHADOR";51
"280400 MARUIM";68
"280410 MOITA BONITA";46
"280420 MONTE ALEGRE DE SERGIPE";40
"280430 MURIBECA";22
"280440 NEOPOLIS";82
"280445 NOSSA SENHORA APARECIDA";42
"280450 NOSSA SENHORA DA GLORIA";138
"280460 NOSSA SENHORA DAS DORES";119
"280470 NOSSA SENHORA DE LOURDES";23
"280480 NOSSA SENHORA DO SOCORRO";676
"280490 PACATUBA";45
"280500 PEDRA MOLE";10
"280510 PEDRINHAS";38
"280520 PINHAO";22
"280530 PIRAMBU";33
"280540 POCO REDONDO";92
"280550 POCO VERDE";82
"280560 PORTO DA FOLHA";80
"280570 PROPRIA";140
"280580 RIACHAO DO DANTAS";83
"280590 RIACHUELO";41
"280600 RIBEIROPOLIS";71
"280610 ROSARIO DO CATETE";38
"280620 SALGADO";71
"280630 SANTA LUZIA DO ITANHY";59
"280640 SANTANA DO SAO FRANCISCO";25
"280650 SANTA ROSA DE LIMA";13
"280660 SANTO AMARO DAS BROTAS";50
"280670 SAO CRISTOVAO";319
"280680 SAO DOMINGOS";30
"280690 SAO FRANCISCO";11
"280700 SAO MIGUEL DO ALEIXO";21
"280710 SIMAO DIAS";164
"280720 SIRIRI";32
"280730 TELHA";11
"280740 TOBIAS BARRETO";183
"280750 TOMAR DO GERU";55
"280760 UMBAUBA";96
"Total";8305
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
