 Óbitos por causas evitáveis de 5 a 74 anos - Tocantins
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
"170025 ABREULANDIA";11
"170030 AGUIARNOPOLIS";25
"170035 ALIANCA DO TOCANTINS";32
"170040 ALMAS";36
"170070 ALVORADA";34
"170100 ANANAS";36
"170105 ANGICO";12
"170110 APARECIDA DO RIO NEGRO";11
"170130 ARAGOMINAS";18
"170190 ARAGUACEMA";11
"170200 ARAGUACU";31
"170210 ARAGUAINA";643
"170215 ARAGUANA";23
"170220 ARAGUATINS";109
"170230 ARAPOEMA";35
"170240 ARRAIAS";26
"170255 AUGUSTINOPOLIS";73
"170270 AURORA DO TOCANTINS";11
"170290 AXIXA DO TOCANTINS";52
"170300 BABACULANDIA";38
"170305 BANDEIRANTES DO TOCANTINS";9
"170307 BARRA DO OURO";24
"170310 BARROLANDIA";21
"170320 BERNARDO SAYAO";11
"170330 BOM JESUS DO TOCANTINS";17
"170360 BRASILANDIA DO TOCANTINS";4
"170370 BREJINHO DE NAZARE";29
"170380 BURITI DO TOCANTINS";30
"170382 CACHOEIRINHA";10
"170384 CAMPOS LINDOS";27
"170386 CARIRI DO TOCANTINS";17
"170388 CARMOLANDIA";6
"170389 CARRASCO BONITO";19
"170390 CASEARA";9
"170410 CENTENARIO";6
"170460 CHAPADA DE AREIA";2
"170510 CHAPADA DA NATIVIDADE";12
"170550 COLINAS DO TOCANTINS";131
"170555 COMBINADO";21
"170560 CONCEICAO DO TOCANTINS";13
"170600 COUTO MAGALHAES";25
"170610 CRISTALANDIA";26
"170625 CRIXAS DO TOCANTINS";9
"170650 DARCINOPOLIS";25
"170700 DIANOPOLIS";75
"170710 DIVINOPOLIS DO TOCANTINS";34
"170720 DOIS IRMAOS DO TOCANTINS";19
"170730 DUERE";27
"170740 ESPERANTINA";31
"170755 FATIMA";18
"170765 FIGUEIROPOLIS";21
"170770 FILADELFIA";19
"170820 FORMOSO DO ARAGUAIA";95
"170825 TABOCAO";13
"170830 GOIANORTE";19
"170900 GOIATINS";47
"170930 GUARAI";84
"170950 GURUPI";317
"170980 IPUEIRAS";7
"171050 ITACAJA";27
"171070 ITAGUATINS";24
"171090 ITAPIRATINS";12
"171110 ITAPORA DO TOCANTINS";4
"171150 JAU DO TOCANTINS";16
"171180 JUARINA";6
"171190 LAGOA DA CONFUSAO";50
"171195 LAGOA DO TOCANTINS";16
"171200 LAJEADO";8
"171215 LAVANDEIRA";3
"171240 LIZARDA";11
"171245 LUZINOPOLIS";9
"171250 MARIANOPOLIS DO TOCANTINS";13
"171270 MATEIROS";8
"171280 MAURILANDIA DO TOCANTINS";11
"171320 MIRACEMA DO TOCANTINS";86
"171330 MIRANORTE";50
"171360 MONTE DO CARMO";19
"171370 MONTE SANTO DO TOCANTINS";6
"171380 PALMEIRAS DO TOCANTINS";12
"171395 MURICILANDIA";12
"171420 NATIVIDADE";24
"171430 NAZARE";13
"171488 NOVA OLINDA";44
"171500 NOVA ROSALANDIA";20
"171510 NOVO ACORDO";18
"171515 NOVO ALEGRE";10
"171525 NOVO JARDIM";10
"171550 OLIVEIRA DE FATIMA";3
"171570 PALMEIRANTE";22
"171575 PALMEIROPOLIS";24
"171610 PARAISO DO TOCANTINS";191
"171620 PARANA";39
"171630 PAU D'ARCO";19
"171650 PEDRO AFONSO";41
"171660 PEIXE";29
"171665 PEQUIZEIRO";27
"171670 COLMEIA";33
"171700 PINDORAMA DO TOCANTINS";23
"171720 PIRAQUE";8
"171750 PIUM";28
"171780 PONTE ALTA DO BOM JESUS";14
"171790 PONTE ALTA DO TOCANTINS";34
"171800 PORTO ALEGRE DO TOCANTINS";12
"171820 PORTO NACIONAL";244
"171830 PRAIA NORTE";18
"171840 PRESIDENTE KENNEDY";20
"171845 PUGMIL";14
"171850 RECURSOLANDIA";17
"171855 RIACHINHO";11
"171865 RIO DA CONCEICAO";6
"171870 RIO DOS BOIS";8
"171875 RIO SONO";11
"171880 SAMPAIO";15
"171884 SANDOLANDIA";11
"171886 SANTA FE DO ARAGUAIA";26
"171888 SANTA MARIA DO TOCANTINS";4
"171889 SANTA RITA DO TOCANTINS";5
"171890 SANTA ROSA DO TOCANTINS";10
"171900 SANTA TEREZA DO TOCANTINS";9
"172000 SANTA TEREZINHA DO TOCANTINS";6
"172010 SAO BENTO DO TOCANTINS";18
"172015 SAO FELIX DO TOCANTINS";3
"172020 SAO MIGUEL DO TOCANTINS";32
"172025 SAO SALVADOR DO TOCANTINS";8
"172030 SAO SEBASTIAO DO TOCANTINS";20
"172049 SAO VALERIO";18
"172065 SILVANOPOLIS";21
"172080 SITIO NOVO DO TOCANTINS";28
"172085 SUCUPIRA";6
"172090 TAGUATINGA";55
"172093 TAIPAS DO TOCANTINS";3
"172097 TALISMA";10
"172100 PALMAS";888
"172110 TOCANTINIA";35
"172120 TOCANTINOPOLIS";60
"172125 TUPIRAMA";5
"172130 TUPIRATINS";7
"172208 WANDERLANDIA";50
"172210 XAMBIOA";46
"Total";5433
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
