 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Domicílio
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";7;81;61;15;7;215;37;9;-;3;2;224;661
"12 Acre";10;44;32;4;4;107;14;6;-;2;4;146;373
"13 Amazonas";61;288;99;10;13;254;41;25;-;3;5;423;1222
"14 Roraima";3;45;15;2;8;76;10;2;-;1;1;95;258
"15 Pará";104;336;296;27;27;1050;151;47;2;19;9;779;2847
"16 Amapá";7;25;24;4;4;80;14;7;-;-;-;119;284
"17 Tocantins";10;83;62;20;14;275;25;22;-;2;-;222;735
"21 Maranhão";102;387;430;81;29;1376;131;106;-;23;4;613;3282
"22 Piauí";57;270;239;55;18;809;78;81;3;11;1;354;1976
"23 Ceará";155;1092;251;124;56;1536;307;187;9;29;4;922;4672
"24 Rio Grande do Norte";45;236;169;30;29;770;91;49;2;14;1;398;1834
"25 Paraíba";34;304;270;38;28;952;91;57;3;16;3;315;2111
"26 Pernambuco";149;572;560;160;40;1987;265;162;3;26;2;1036;4962
"27 Alagoas";52;190;220;63;18;652;87;96;1;2;1;221;1603
"28 Sergipe";31;173;115;126;21;331;32;26;6;9;1;280;1151
"29 Bahia";179;863;646;233;93;2095;285;160;3;34;3;1432;6026
"31 Minas Gerais";211;1146;917;640;162;3259;430;129;5;56;4;1771;8730
"32 Espírito Santo";27;240;170;46;30;785;86;55;-;11;1;386;1837
"33 Rio de Janeiro";147;528;737;104;41;3429;400;67;1;47;3;793;6297
"35 São Paulo";264;1767;1283;247;124;7465;1319;339;1;94;12;3007;15922
"41 Paraná";86;911;740;287;98;2209;386;138;2;19;2;1231;6109
"42 Santa Catarina";41;462;288;77;31;1209;205;43;1;20;3;751;3131
"43 Rio Grande do Sul";135;796;661;186;68;1891;351;98;2;33;2;1481;5704
"50 Mato Grosso do Sul";18;136;83;29;11;699;55;33;1;4;-;286;1355
"51 Mato Grosso";32;160;142;54;19;424;52;26;-;10;2;369;1290
"52 Goiás";102;402;298;128;46;1046;186;74;1;14;2;817;3116
"53 Distrito Federal";35;76;84;56;24;342;41;22;-;1;-;201;882
"Total";2104;11613;8892;2846;1063;35323;5170;2066;46;503;72;18672;88370
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
