 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Hospital
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";201;532;200;8;8;676;301;75;4;44;12;332;2393
"12 Acre";122;226;68;3;-;273;237;34;2;25;4;123;1117
"13 Amazonas";578;1025;631;22;25;1338;480;205;16;141;58;958;5477
"14 Roraima";69;151;85;-;4;229;75;31;23;36;10;142;855
"15 Pará";1163;1918;954;37;26;2763;1303;405;45;273;110;1355;10352
"16 Amapá";111;191;101;5;4;232;137;32;3;25;5;150;996
"17 Tocantins";113;345;238;32;15;572;172;132;3;43;14;269;1948
"21 Maranhão";932;1360;956;69;19;2800;839;414;65;163;73;1283;8973
"22 Piauí";368;808;438;42;27;1499;597;252;43;105;44;575;4798
"23 Ceará";930;2436;713;73;72;3437;1460;645;84;269;92;1599;11810
"24 Rio Grande do Norte";385;1185;461;42;20;1342;526;234;17;80;29;614;4935
"25 Paraíba";486;1247;601;37;21;1871;798;271;25;229;39;654;6279
"26 Pernambuco";1455;3014;1376;147;89;4911;1516;880;104;383;62;1730;15667
"27 Alagoas";480;776;665;61;20;1914;663;270;38;108;27;665;5687
"28 Sergipe";330;597;302;37;15;924;369;169;43;126;11;568;3491
"29 Bahia";1856;4086;1839;262;87;5884;1826;1007;92;554;98;3243;20834
"31 Minas Gerais";2795;7437;2248;407;222;8989;4618;1416;132;861;112;3460;32697
"32 Espírito Santo";401;1732;548;52;28;1873;673;384;22;189;25;948;6875
"33 Rio de Janeiro";3562;7859;2782;118;110;10252;4364;1068;189;1390;161;5309;37164
"35 São Paulo";5364;20629;4852;283;423;24494;11847;3724;414;2359;266;6986;81641
"41 Paraná";1216;4921;1287;121;114;5224;2800;1005;70;422;67;2099;19346
"42 Santa Catarina";923;3460;746;56;60;2824;1673;491;41;295;26;1042;11637
"43 Rio Grande do Sul";2073;7178;2096;166;111;5860;3121;910;57;524;53;1647;23796
"50 Mato Grosso do Sul";364;1069;339;32;22;1277;719;252;29;149;22;404;4678
"51 Mato Grosso";440;991;426;28;24;1422;667;189;16;160;39;796;5198
"52 Goiás";765;2285;833;87;43;2961;1440;586;36;271;64;1480;10851
"53 Distrito Federal";303;1022;258;36;17;837;330;274;10;47;9;463;3606
"Total";27785;78480;26043;2263;1626;96678;43551;15355;1623;9271;1532;38894;343101
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
