 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Ignorado
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XX";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;6;6
"12 Acre";-;-;-;-;-;1;-;-;-;-;1;2
"13 Amazonas";1;1;1;-;-;-;-;-;-;-;5;8
"14 Roraima";-;-;-;-;-;-;-;-;-;-;2;2
"15 Pará";1;1;1;-;-;2;-;-;-;-;114;119
"16 Amapá";-;-;-;-;-;-;-;-;-;-;1;1
"17 Tocantins";-;1;-;-;-;-;-;-;-;-;3;4
"21 Maranhão";1;-;2;2;-;1;-;-;1;-;10;17
"22 Piauí";-;1;-;2;-;2;-;-;-;-;14;19
"23 Ceará";-;-;-;-;-;4;1;-;-;-;34;39
"24 Rio Grande do Norte";-;-;1;-;-;1;-;-;-;-;10;12
"25 Paraíba";-;1;-;-;-;1;-;-;-;-;8;10
"26 Pernambuco";1;1;1;-;-;3;-;-;1;-;16;23
"27 Alagoas";-;-;-;-;-;3;-;-;-;-;2;5
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;1;1
"29 Bahia";1;-;2;-;1;8;2;1;-;1;31;47
"31 Minas Gerais";-;3;3;1;1;11;6;-;-;-;35;60
"32 Espírito Santo";1;3;1;1;-;2;1;-;-;-;18;27
"33 Rio de Janeiro";-;1;1;-;1;5;1;-;-;-;2;11
"35 São Paulo";-;2;1;-;-;6;4;2;-;-;14;29
"41 Paraná";-;-;2;-;-;3;-;-;-;-;5;10
"42 Santa Catarina";-;-;-;-;-;2;-;-;-;-;5;7
"43 Rio Grande do Sul";-;1;1;-;1;2;-;1;-;-;9;15
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;1;1
"51 Mato Grosso";-;1;1;-;-;-;1;-;-;-;12;15
"52 Goiás";-;1;-;-;-;4;-;2;1;-;25;33
"53 Distrito Federal";-;-;-;-;-;1;-;-;-;-;4;5
"Total";6;18;18;6;4;62;16;6;3;1;388;528
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
