 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Ignorado
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";-;-;-;-;-;1;1;-;-;-;-;4;6
"12 Acre";-;-;-;-;-;1;-;-;-;-;-;3;4
"13 Amazonas";-;-;-;-;-;1;-;-;-;-;-;4;5
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;1;1
"15 Pará";1;1;-;-;-;2;-;1;-;-;-;80;85
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;1;1
"17 Tocantins";1;1;1;-;-;1;-;-;-;-;-;3;7
"21 Maranhão";1;-;-;-;-;2;-;1;-;-;-;8;12
"22 Piauí";-;-;-;-;-;2;-;-;-;-;1;9;12
"23 Ceará";-;-;-;1;-;-;2;2;-;-;-;7;12
"24 Rio Grande do Norte";-;1;2;-;-;1;-;-;-;-;-;13;17
"25 Paraíba";-;-;1;-;-;1;-;1;-;-;-;3;6
"26 Pernambuco";-;2;-;1;-;2;-;1;-;-;-;25;31
"27 Alagoas";-;1;-;-;-;3;-;-;-;-;-;3;7
"29 Bahia";-;1;3;-;-;5;-;-;-;1;-;25;35
"31 Minas Gerais";1;-;4;2;1;7;1;1;-;-;-;35;52
"32 Espírito Santo";-;1;2;-;1;3;-;-;1;-;-;15;23
"33 Rio de Janeiro";2;-;-;-;-;7;3;-;-;1;-;5;18
"35 São Paulo";-;-;-;-;-;7;3;1;-;-;-;15;26
"41 Paraná";1;1;1;-;-;3;-;-;-;-;-;4;10
"42 Santa Catarina";-;-;1;-;-;3;-;-;-;-;-;3;7
"43 Rio Grande do Sul";-;4;5;-;-;8;-;-;-;1;-;7;25
"51 Mato Grosso";1;-;-;-;-;-;-;-;-;-;-;3;4
"52 Goiás";-;-;-;-;-;2;-;-;-;-;-;20;22
"53 Distrito Federal";-;-;-;-;-;1;1;-;-;-;-;1;3
"Total";8;13;20;4;2;63;11;8;1;3;1;297;431
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
