 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Ignorado
Período:2020
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";-;-;-;-;-;2;-;-;-;-;3;5
"12 Acre";-;-;-;-;-;-;-;1;-;-;-;1
"13 Amazonas";-;-;-;-;1;1;1;-;-;-;2;5
"14 Roraima";-;-;-;-;-;-;-;-;-;-;5;5
"15 Pará";1;-;2;-;-;3;-;-;-;-;46;52
"16 Amapá";-;-;-;-;-;1;1;-;-;-;1;3
"17 Tocantins";-;-;-;-;-;1;-;-;-;-;3;4
"21 Maranhão";1;-;-;1;-;2;1;-;-;-;7;12
"22 Piauí";-;1;-;-;-;2;-;-;-;1;6;10
"23 Ceará";-;2;-;-;-;1;-;-;-;-;18;21
"24 Rio Grande do Norte";-;1;2;-;-;1;-;-;-;-;10;14
"25 Paraíba";1;1;-;-;-;2;1;-;-;-;5;10
"26 Pernambuco";2;1;-;-;1;2;1;-;-;-;19;26
"27 Alagoas";-;2;2;-;-;1;-;-;-;-;1;6
"28 Sergipe";-;1;-;-;-;1;-;-;-;-;2;4
"29 Bahia";1;-;6;2;-;8;1;-;1;-;45;64
"31 Minas Gerais";2;3;6;3;-;9;-;1;2;-;54;80
"32 Espírito Santo";-;-;-;1;-;4;-;-;-;-;11;16
"33 Rio de Janeiro";2;-;1;-;-;4;-;-;1;-;4;12
"35 São Paulo";2;3;2;-;-;17;6;-;-;-;20;50
"41 Paraná";-;1;1;-;-;2;-;-;-;-;4;8
"42 Santa Catarina";-;-;-;-;-;2;-;-;-;-;6;8
"43 Rio Grande do Sul";-;3;1;3;-;1;1;2;-;-;8;19
"50 Mato Grosso do Sul";-;-;-;-;-;1;-;-;-;-;1;2
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;7;7
"52 Goiás";-;4;-;-;1;6;-;-;-;-;8;19
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;2;2
"Total";12;23;23;10;3;74;13;4;4;1;298;465
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
