 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Ignorado
Período:2023
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XIV";"Cap XX";"Total"
"11 Rondônia";-;-;-;-;-;1;-;-;-;6;7
"13 Amazonas";-;-;-;-;-;-;-;-;-;1;1
"14 Roraima";-;-;-;-;-;-;-;-;-;1;1
"15 Pará";-;-;-;-;-;2;-;-;-;25;27
"16 Amapá";-;-;-;-;-;1;-;-;-;-;1
"17 Tocantins";-;1;-;-;-;-;2;-;-;-;3
"21 Maranhão";1;-;-;-;-;1;-;1;-;12;15
"22 Piauí";-;-;-;-;-;2;-;-;-;3;5
"23 Ceará";-;-;-;-;-;-;-;-;-;5;5
"24 Rio Grande do Norte";1;1;1;-;-;4;-;1;1;14;23
"25 Paraíba";-;-;-;-;-;1;-;-;-;1;2
"26 Pernambuco";-;-;-;-;-;1;-;-;1;3;5
"27 Alagoas";-;-;-;-;-;1;-;-;-;1;2
"28 Sergipe";-;-;-;-;-;-;-;-;-;1;1
"29 Bahia";-;-;3;-;-;4;1;-;-;16;24
"31 Minas Gerais";1;2;3;3;1;10;5;4;-;48;77
"32 Espírito Santo";-;-;-;-;-;3;-;-;-;11;14
"33 Rio de Janeiro";-;-;2;-;-;4;-;-;-;8;14
"35 São Paulo";-;2;2;1;-;2;1;2;-;12;22
"41 Paraná";-;-;-;-;-;5;-;2;-;5;12
"42 Santa Catarina";-;-;-;-;-;-;1;-;-;2;3
"43 Rio Grande do Sul";-;2;3;3;-;3;-;-;1;20;32
"50 Mato Grosso do Sul";-;-;-;-;1;-;-;-;-;1;2
"51 Mato Grosso";-;-;-;-;-;2;-;-;-;6;8
"52 Goiás";-;1;-;-;-;2;-;-;-;14;17
"Total";3;9;14;7;2;49;10;10;3;216;323
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
