 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Ignorado
Período:2024
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap IX";"Cap X";"Cap XI";"Cap XIV";"Cap XX";"Total"
"11 Rondônia";-;-;-;-;1;-;-;-;5;6
"12 Acre";-;-;-;-;-;-;-;-;2;2
"13 Amazonas";-;-;-;-;-;-;1;-;3;4
"14 Roraima";-;-;-;-;-;-;-;-;1;1
"15 Pará";-;1;-;1;2;-;-;-;15;19
"16 Amapá";-;-;1;-;-;-;-;-;-;1
"17 Tocantins";-;-;-;-;1;-;-;-;3;4
"21 Maranhão";-;1;1;2;1;-;-;-;16;21
"22 Piauí";-;-;-;-;1;2;-;-;8;11
"23 Ceará";-;-;-;-;-;-;-;-;8;8
"24 Rio Grande do Norte";1;1;-;-;4;1;-;-;12;19
"25 Paraíba";1;-;1;-;3;-;1;-;3;9
"26 Pernambuco";-;1;-;-;4;-;-;-;6;11
"27 Alagoas";-;-;-;-;2;-;1;-;3;6
"28 Sergipe";-;-;-;-;-;-;-;-;1;1
"29 Bahia";1;2;2;-;7;1;2;-;29;44
"31 Minas Gerais";1;2;6;2;9;1;-;1;43;65
"32 Espírito Santo";-;-;-;-;-;-;-;-;10;10
"33 Rio de Janeiro";1;1;-;-;3;1;-;-;12;18
"35 São Paulo";1;4;1;-;3;2;-;-;11;22
"41 Paraná";-;1;-;1;1;-;-;-;-;3
"42 Santa Catarina";1;-;1;-;-;-;-;-;3;5
"43 Rio Grande do Sul";1;2;1;-;2;1;-;-;18;25
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;2;2
"51 Mato Grosso";-;-;-;-;-;-;-;-;4;4
"52 Goiás";-;-;-;2;-;-;-;-;14;16
"Total";8;16;14;8;44;9;5;1;232;337
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
