 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outro estabelecimento de saúde
Período:2022
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";5;18;21;2;-;54;12;2;-;3;-;26;143
"12 Acre";-;1;-;-;-;2;-;-;-;-;-;-;3
"13 Amazonas";4;3;10;1;-;9;11;-;-;2;1;25;66
"14 Roraima";3;-;-;-;-;1;-;-;-;1;-;-;5
"15 Pará";282;79;140;6;5;541;302;55;6;35;2;132;1585
"16 Amapá";17;4;7;-;-;42;24;3;1;2;-;9;109
"17 Tocantins";19;16;26;6;2;81;42;10;1;4;-;16;223
"21 Maranhão";59;32;72;15;5;244;93;29;2;15;2;26;594
"22 Piauí";7;17;17;5;1;34;10;10;1;3;1;6;112
"23 Ceará";124;222;103;24;8;441;244;78;11;31;6;128;1420
"24 Rio Grande do Norte";66;76;106;11;7;293;118;56;7;17;1;56;814
"25 Paraíba";34;45;85;6;2;197;73;15;1;8;-;24;490
"26 Pernambuco";131;127;293;65;8;671;171;63;11;37;6;388;1971
"27 Alagoas";60;34;60;11;6;273;103;29;1;18;1;18;614
"28 Sergipe";5;5;11;-;-;30;11;2;-;2;2;10;78
"29 Bahia";285;278;344;72;21;1156;412;158;25;84;6;263;3104
"31 Minas Gerais";304;550;449;120;61;1566;521;152;11;124;2;460;4320
"32 Espírito Santo";22;96;88;25;4;365;69;19;1;21;1;119;830
"33 Rio de Janeiro";747;660;750;54;30;3112;984;136;41;353;20;534;7421
"35 São Paulo";625;1348;931;97;73;4357;1427;289;28;273;8;670;10126
"41 Paraná";106;256;241;53;23;735;260;72;1;45;1;192;1985
"42 Santa Catarina";26;63;65;6;5;246;49;11;2;7;2;39;521
"43 Rio Grande do Sul";114;271;201;24;10;487;166;32;4;37;2;68;1416
"50 Mato Grosso do Sul";13;21;17;-;3;155;30;11;2;6;-;31;289
"51 Mato Grosso";56;75;109;15;10;301;71;22;1;16;2;79;757
"52 Goiás";97;137;117;18;10;455;162;73;4;25;6;147;1251
"53 Distrito Federal";44;68;44;11;2;162;53;28;4;15;2;42;475
"Total";3255;4502;4307;647;296;16010;5418;1355;166;1184;74;3508;40722
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
