 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outros
Período:2024
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";4;3;3;3;-;23;4;-;-;1;-;285;326
"12 Acre";-;1;1;-;1;22;2;-;-;-;-;123;150
"13 Amazonas";12;7;11;5;3;40;5;1;-;1;1;583;669
"14 Roraima";2;3;2;1;2;20;2;1;-;-;4;143;180
"15 Pará";12;25;11;4;3;149;13;5;1;2;1;1187;1413
"16 Amapá";2;1;2;1;2;19;2;-;-;-;-;205;234
"17 Tocantins";-;3;3;4;1;57;3;2;1;1;1;244;320
"21 Maranhão";14;20;58;9;3;185;23;17;-;3;3;971;1306
"22 Piauí";4;31;22;7;6;116;28;11;-;7;-;341;573
"23 Ceará";14;40;16;16;5;163;37;15;1;2;3;1706;2018
"24 Rio Grande do Norte";2;10;8;2;1;106;10;3;-;1;1;257;401
"25 Paraíba";15;8;18;6;1;117;21;6;-;4;4;458;658
"26 Pernambuco";15;16;29;27;7;277;22;17;1;4;1;1106;1522
"27 Alagoas";6;4;12;12;6;81;4;7;1;1;-;691;825
"28 Sergipe";4;-;5;3;1;25;2;-;-;1;-;84;125
"29 Bahia";26;43;66;55;9;261;35;18;-;4;-;2579;3096
"31 Minas Gerais";45;131;73;59;21;380;100;11;3;22;-;1603;2448
"32 Espírito Santo";7;10;24;10;3;113;10;4;1;-;-;485;667
"33 Rio de Janeiro";29;57;49;9;3;377;58;3;-;8;1;1388;1982
"35 São Paulo";47;97;141;32;17;1065;197;45;2;15;3;1888;3549
"41 Paraná";13;44;59;34;17;268;50;9;-;6;3;1284;1787
"42 Santa Catarina";11;26;38;6;3;234;27;10;-;2;-;683;1040
"43 Rio Grande do Sul";31;121;113;33;9;373;80;13;-;8;-;1001;1782
"50 Mato Grosso do Sul";10;11;10;7;1;96;9;4;-;4;-;358;510
"51 Mato Grosso";3;8;10;13;2;86;7;2;-;1;-;548;680
"52 Goiás";15;24;36;21;5;213;21;14;4;3;1;681;1038
"53 Distrito Federal";5;5;11;6;-;47;6;6;-;-;1;154;241
"Total";348;749;831;385;132;4913;778;224;15;101;28;21036;29540
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
