 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Via pública
Período:2020
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";-;1;3;2;-;19;4;1;-;-;-;425;455
"12 Acre";1;-;1;2;-;5;2;1;-;-;-;157;169
"13 Amazonas";4;2;3;2;-;14;3;1;-;1;1;685;716
"14 Roraima";2;-;1;-;1;5;2;-;-;-;-;74;85
"15 Pará";5;3;12;2;3;94;13;6;1;1;2;1940;2082
"16 Amapá";-;2;8;-;-;11;1;-;-;-;1;166;189
"17 Tocantins";-;4;6;4;2;25;1;1;-;1;-;507;551
"21 Maranhão";10;6;26;7;6;111;14;18;1;2;2;1708;1911
"22 Piauí";-;1;6;3;3;49;4;1;-;-;-;800;867
"23 Ceará";3;9;20;6;4;123;19;15;-;1;-;3398;3598
"24 Rio Grande do Norte";3;2;6;3;1;72;4;4;-;1;1;1080;1177
"25 Paraíba";4;5;7;4;2;59;7;3;-;-;2;1002;1095
"26 Pernambuco";4;1;29;30;4;99;5;3;1;2;-;2825;3003
"27 Alagoas";3;2;11;8;2;35;3;5;-;1;-;1026;1096
"28 Sergipe";-;4;4;7;1;35;2;2;-;-;-;819;874
"29 Bahia";8;15;54;31;2;143;13;12;-;2;1;4252;4533
"31 Minas Gerais";12;16;35;46;6;231;28;9;-;-;-;2970;3353
"32 Espírito Santo";2;9;11;10;2;59;5;4;-;-;1;979;1082
"33 Rio de Janeiro";2;5;15;8;3;137;19;2;-;-;1;2480;2672
"35 São Paulo";13;14;45;36;5;399;80;15;-;-;1;4802;5410
"41 Paraná";3;8;31;47;7;134;14;12;-;-;1;2511;2768
"42 Santa Catarina";6;2;9;9;1;68;7;1;-;-;-;1180;1283
"43 Rio Grande do Sul";11;16;24;24;-;99;5;4;-;2;1;1833;2019
"50 Mato Grosso do Sul";2;4;1;4;-;52;7;4;-;-;-;562;636
"51 Mato Grosso";7;9;16;4;1;46;4;1;-;-;1;989;1078
"52 Goiás";5;2;11;17;4;69;8;8;-;-;-;1663;1787
"53 Distrito Federal";2;2;7;8;3;14;4;3;-;-;-;408;451
"Total";112;144;402;324;63;2207;278;136;3;14;16;41241;44940
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
