 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Causas evitáveis
Período:2021
"Unidade da Federação";"1.1. Reduzíveis pelas ações de imunoprevenção";"1.2. Reduz ações prom prev contr atenç doenç infec";"1.3. Reduz ações prom prev contr atenç doe ñ trans";"1.4. Reduz ações prev contr atenção causas matern";"1.5. Reduz ações prom prev atenç causas externas";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"11 Rondônia";4;487;2339;46;1353;401;4899;9529
"12 Acre";8;336;1007;15;429;314;1385;3494
"13 Amazonas";29;1372;4656;127;3062;1191;8812;19249
"14 Roraima";6;193;707;40;585;69;1416;3016
"15 Pará";21;2888;9924;186;5610;1865;12296;32790
"16 Amapá";3;217;904;19;737;127;1232;3239
"17 Tocantins";2;342;2350;46;1332;139;2850;7061
"21 Maranhão";12;1978;9682;166;4560;1040;9415;26853
"22 Piauí";9;1027;5201;68;2333;593;5290;14521
"23 Ceará";16;2789;12793;146;7380;1064;17561;41749
"24 Rio Grande do Norte";4;1048;5350;71;2305;479;5999;15256
"25 Paraíba";7;1480;6843;79;2625;796;7430;19260
"26 Pernambuco";34;3652;16992;119;6995;2056;17909;47757
"27 Alagoas";8;1159;5736;58;2225;894;5618;15698
"28 Sergipe";5;658;3306;33;1581;552;4059;10194
"29 Bahia";27;4184;22895;217;12242;5772;22414;67751
"31 Minas Gerais";31;6832;35467;248;10876;6337;50119;109910
"32 Espírito Santo";8;1008;7411;64;3004;131;7893;19519
"33 Rio de Janeiro";48;10553;35605;368;10144;9782;45541;112041
"35 São Paulo";102;17262;83750;526;18043;11378;127557;258618
"41 Paraná";26;3432;21969;203;7557;1378;34955;69520
"42 Santa Catarina";26;2070;12514;103;3837;787;16920;36257
"43 Rio Grande do Sul";37;3930;24435;128;6106;2647;29387;66670
"50 Mato Grosso do Sul";9;1089;5072;63;1825;366;7625;16049
"51 Mato Grosso";20;883;5234;87;2844;756;9618;19442
"52 Goiás";19;2187;12085;140;4979;379;19552;39341
"53 Distrito Federal";3;638;3705;41;1206;236;6160;11989
"Total";524;73694;357932;3407;125775;51529;483912;1096773
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
