 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Período:2022
"Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"11 Rondônia";593;1103;34;383;62;121;-;-;1263;398;251;9;22;156;11;-;12;423;1464;6305
"12 Acre";203;441;16;123;18;29;-;-;499;258;115;6;10;64;5;-;9;162;487;2445
"13 Amazonas";1163;2135;71;862;72;226;-;3;2174;770;632;43;74;271;55;-;30;904;2977;12462
"14 Roraima";192;343;13;120;6;44;-;-;412;149;99;14;17;69;21;-;7;70;559;2135
"15 Pará";2639;4038;168;1571;159;464;-;2;5522;2263;1444;162;115;675;109;3;52;1756;5875;27017
"16 Amapá";223;374;16;151;18;33;-;-;427;198;103;5;12;71;12;-;8;115;636;2402
"17 Tocantins";406;846;26;336;130;99;-;3;1304;347;315;22;8;105;21;-;10;122;1333;5433
"21 Maranhão";1620;3238;152;1779;310;389;1;6;5713;1664;1487;132;89;498;85;5;65;1096;4354;22683
"22 Piauí";898;2039;86;945;252;278;2;1;3116;874;830;67;35;275;53;-;33;525;2302;12611
"23 Ceará";2408;6265;158;1539;571;768;-;10;7512;2709;2189;204;131;780;79;-;86;716;7322;33447
"24 Rio Grande do Norte";934;2403;77;812;145;274;-;5;3168;921;808;74;71;277;35;4;39;431;2228;12706
"25 Paraíba";1270;2881;67;1192;263;311;-;3;4025;1328;1007;74;68;426;24;1;41;811;2699;16491
"26 Pernambuco";3115;6551;187;2812;1035;828;1;7;8747;3344;2564;322;207;1099;73;7;103;1731;7153;39886
"27 Alagoas";1132;1880;72;1020;246;253;-;2;3693;992;804;71;51;333;35;2;19;872;2245;13722
"28 Sergipe";541;1282;56;602;239;191;1;2;1762;570;486;71;25;227;33;2;27;541;1647;8305
"29 Bahia";4194;9464;413;3918;1244;1191;3;9;12405;3842;3355;283;192;1221;109;3;134;5057;12055;59092
"31 Minas Gerais";6677;17194;543;4847;2177;2204;2;17;18862;6862;5078;362;440;2158;125;3;194;6161;11284;85190
"32 Espírito Santo";1157;3158;53;1028;318;403;3;5;3916;872;770;71;78;404;35;1;57;174;3077;15580
"33 Rio de Janeiro";7098;15275;504;4449;861;1406;2;16;20987;6691;3683;505;369;3056;161;-;129;7677;9847;82716
"35 São Paulo";15050;39463;852;9336;1751;4038;2;36;52104;17070;12025;882;924;5017;241;14;464;8447;18608;186324
"41 Paraná";3657;10493;180;2906;1166;1344;-;6;11327;4012;3197;176;251;1003;69;3;127;1232;8045;49194
"42 Santa Catarina";2214;7141;89;1483;327;725;-;1;6594;2353;1506;94;109;571;41;1;83;779;3946;28057
"43 Rio Grande do Sul";4577;13058;170;3616;1054;1395;-;6;11479;4423;2562;150;197;1126;67;40;173;2625;6318;53036
"50 Mato Grosso do Sul";985;2087;59;548;78;247;1;5;3116;1085;759;66;58;343;29;-;25;337;1957;11785
"51 Mato Grosso";1260;2243;68;864;191;238;-;-;2854;856;742;33;46;312;34;-;29;630;3030;13430
"52 Goiás";2473;5022;147;1414;437;585;-;5;6851;2189;1931;108;152;790;57;-;67;418;4955;27601
"53 Distrito Federal";676;1838;55;433;163;231;-;1;1718;478;589;33;58;167;21;-;35;255;1256;8007
"Total";67355;162255;4332;49089;13293;18315;18;151;201550;67518;49331;4039;3809;21494;1640;89;2058;44067;127659;838062
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
