 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Causas evitáveis
Período:2018
"Unidade da Federação";"1.1. Reduzíveis pelas ações de imunoprevenção";"1.2. Reduz ações prom prev contr atenç doenç infec";"1.3. Reduz ações prom prev contr atenç doe ñ trans";"1.4. Reduz ações prev contr atenção causas matern";"1.5. Reduz ações prom prev atenç causas externas";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"11 Rondônia";6;461;2075;13;1173;309;1010;5047
"12 Acre";11;230;1089;9;649;125;412;2525
"13 Amazonas";33;1014;4173;80;2695;1089;1786;10870
"14 Roraima";5;160;679;11;619;35;288;1797
"15 Pará";22;2657;9554;112;7020;1387;4218;24970
"16 Amapá";-;184;774;14;622;141;382;2117
"17 Tocantins";2;250;2050;9;1289;95;850;4545
"21 Maranhão";30;1838;9301;94;4322;903;3799;20287
"22 Piauí";7;882;4979;51;2152;412;2164;10647
"23 Ceará";17;2679;12406;113;8452;779;6456;30902
"24 Rio Grande do Norte";4;979;5227;27;2903;328;2239;11707
"25 Paraíba";8;1233;6373;40;2677;657;3046;14034
"26 Pernambuco";52;3222;16141;96;7461;797;7890;35659
"27 Alagoas";8;1042;5505;26;2460;429;2393;11863
"28 Sergipe";3;747;3153;21;1881;488;1421;7714
"29 Bahia";13;3773;20527;123;11826;5250;10521;52033
"31 Minas Gerais";40;7095;32833;139;10708;5381;18273;74469
"32 Espírito Santo";10;1058;6616;41;2865;79;2742;13411
"33 Rio de Janeiro";52;9608;35160;176;11544;6166;17046;79752
"35 São Paulo";153;17312;77833;318;17256;8167;42820;163859
"41 Paraná";23;3282;20938;82;6983;942;9480;41730
"42 Santa Catarina";20;1894;11544;35;3621;707;5621;23442
"43 Rio Grande do Sul";43;3900;24144;61;6531;2302;10467;47448
"50 Mato Grosso do Sul";7;857;4985;31;1652;182;1976;9690
"51 Mato Grosso";13;911;4976;46;2623;638;2319;11526
"52 Goiás";12;2107;10929;70;5316;366;5293;24093
"53 Distrito Federal";2;521;3524;24;1265;164;1561;7061
"Total";596;69896;337488;1862;128565;38318;166473;743198
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
