 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"11 Rondônia";235;1030;22;315;49;101;-;1;1101;393;246;13;20;116;14;-;12;324;1172;5164
"12 Acre";140;422;27;120;17;33;-;-;470;277;112;2;12;53;8;-;9;172;582;2456
"13 Amazonas";691;2023;75;805;47;155;-;4;1855;646;538;25;66;231;67;-;46;1220;2842;11336
"14 Roraima";85;314;9;121;6;44;-;-;383;95;83;23;16;53;11;-;3;51;502;1799
"15 Pará";1592;3802;153;1609;131;355;2;2;5166;1981;1286;91;98;600;130;-;59;1721;5912;24690
"16 Amapá";125;376;9;151;14;42;-;-;397;183;112;4;10;54;5;-;5;152;590;2229
"17 Tocantins";143;759;37;354;72;97;-;3;1110;245;268;4;16;82;15;-;10;137;1203;4555
"21 Maranhão";1157;3100;124;1647;248;315;-;7;5233;1278;1281;100;63;442;85;3;49;872;4036;20040
"22 Piauí";465;1943;67;810;163;236;1;2;2764;766;667;59;53;217;46;-;36;411;2002;10708
"23 Ceará";1317;6237;156;1231;379;707;1;7;7001;2328;1930;158;147;701;108;5;112;749;6077;29351
"24 Rio Grande do Norte";486;2386;68;821;128;236;2;3;2968;793;704;45;51;248;32;1;33;366;2354;11725
"25 Paraíba";574;2814;76;1068;155;257;-;1;3648;1107;874;62;54;450;45;-;37;710;2270;14202
"26 Pernambuco";1836;6429;203;2457;471;591;-;6;9616;2947;2334;176;178;885;73;3;70;847;6915;36037
"27 Alagoas";605;1811;50;1078;171;166;1;2;3366;887;842;68;50;257;29;3;26;505;2160;12077
"28 Sergipe";385;1292;41;481;254;157;-;2;1579;484;442;63;31;210;12;-;11;510;1732;7686
"29 Bahia";2430;8953;379;3242;794;905;-;3;10665;3229;2995;206;215;1134;112;-;119;5795;11525;52701
"31 Minas Gerais";3610;16166;460;4327;2018;1824;2;12;17534;6557;4543;305;429;1940;117;5;199;5218;10859;76125
"32 Espírito Santo";508;3191;57;847;155;366;-;3;3614;887;783;43;86;316;33;2;32;118;2758;13799
"33 Rio de Janeiro";4763;15108;565;4953;626;1223;1;24;21116;7089;3818;457;356;2831;183;-;147;7068;11006;81334
"35 São Paulo";6533;39493;732;7854;1249;3513;2;21;47240;16050;11082;710;888;4425;294;3;383;8299;17218;165989
"41 Paraná";1505;10029;188;2523;768;1098;-;1;10037;3758;2673;104;201;850;72;-;105;1086;6859;41857
"42 Santa Catarina";1049;6569;93;1248;334;510;1;4;5632;2159;1275;75;129;508;31;1;63;692;3650;24023
"43 Rio Grande do Sul";2449;13011;180;3245;677;1116;1;9;10065;4149;2366;132;213;962;56;38;141;2310;6201;47321
"50 Mato Grosso do Sul";436;2026;50;528;102;178;-;3;2648;919;607;47;37;222;24;-;31;276;1635;9769
"51 Mato Grosso";556;2082;58;755;169;233;-;2;2546;888;595;28;60;311;44;-;34;645;2516;11522
"52 Goiás";1135;4712;109;1435;357;483;1;8;5960;2031;1565;60;113;626;71;-;73;533;4957;24229
"53 Distrito Federal";408;1918;45;422;172;193;-;1;1603;462;490;15;46;102;9;-;38;191;1224;7339
"Total";35218;157996;4033;44447;9726;15134;15;131;185317;62588;44511;3075;3638;18826;1726;64;1883;40978;120757;750063
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
