 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Período:2023
"Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XIX";"Cap XX";"Total"
"11 Rondônia";329;1104;29;354;57;131;-;1;1294;504;282;10;28;175;11;-;12;405;-;1393;6119
"12 Acre";168;478;24;113;11;43;1;1;507;263;127;3;5;73;6;1;4;128;-;507;2463
"13 Amazonas";948;2281;73;920;103;242;-;1;2381;827;674;34;79;275;65;-;41;890;-;2912;12746
"14 Roraima";148;385;13;114;7;29;-;-;418;144;116;8;19;65;17;-;6;71;-;533;2093
"15 Pará";1802;4362;198;1565;178;476;-;4;5772;2194;1430;158;120;754;91;2;63;1580;-;5601;26350
"16 Amapá";117;396;11;128;15;24;-;1;483;224;96;12;7;45;12;-;12;110;-;778;2471
"17 Tocantins";202;900;26;331;118;94;-;-;1270;327;320;12;17;90;18;-;15;136;-;1331;5207
"21 Maranhão";1218;3350;150;1618;306;416;-;8;5596;1587;1386;134;83;575;93;4;61;1031;-;4663;22279
"22 Piauí";533;2081;71;863;265;282;-;3;2871;845;768;63;45;272;28;-;37;481;-;2409;11917
"23 Ceará";1567;6627;143;1314;471;781;-;5;7132;2706;2092;189;165;755;65;1;101;703;-;7376;32193
"24 Rio Grande do Norte";592;2596;70;715;131;254;1;4;2979;818;781;66;80;299;29;1;29;386;-;2006;11837
"25 Paraíba";721;2946;91;1038;201;265;-;4;3744;1171;1098;96;60;423;35;2;56;581;-;2631;15163
"26 Pernambuco";2237;6771;183;2246;646;764;3;6;10005;3064;2652;292;206;1123;77;7;107;1030;-;7322;38741
"27 Alagoas";837;2055;73;921;228;230;1;6;3636;1004;862;85;61;326;34;3;23;580;-;2429;13394
"28 Sergipe";410;1501;40;528;241;182;-;6;1689;482;511;54;38;223;14;-;20;503;-;1584;8026
"29 Bahia";2900;10285;383;3809;1197;1190;2;13;12705;3594;3375;363;235;1247;112;3;136;4343;-;12087;57979
"31 Minas Gerais";4425;17667;475;4595;2095;2325;1;23;18387;6890;5009;398;499;2359;121;9;239;5736;-;11793;83046
"32 Espírito Santo";621;3395;63;1160;287;402;1;1;3805;792;963;93;73;458;26;-;53;85;-;3138;15416
"33 Rio de Janeiro";5295;15852;594;4538;820;1346;4;19;20980;7012;3590;575;372;3076;182;3;130;6620;-;9882;80890
"35 São Paulo";8652;40833;873;8659;1742;4233;1;43;50418;17061;11827;1054;974;5151;256;21;413;7945;-;18620;178776
"41 Paraná";2028;10888;195;2659;1083;1389;-;11;10800;3774;3108;183;281;947;69;4;132;1138;1;7609;46299
"42 Santa Catarina";1246;7295;83;1544;333;715;-;5;6622;2191;1496;91;130;569;36;1;91;708;-;4031;27187
"43 Rio Grande do Sul";2682;12997;137;3331;1053;1319;1;7;10463;3930;2446;161;197;1072;57;25;166;2117;-;6446;48607
"50 Mato Grosso do Sul";546;2244;67;556;102;255;1;-;3055;1013;735;72;66;331;26;-;29;376;-;1935;11409
"51 Mato Grosso";662;2395;80;932;221;279;-;5;2905;882;732;36;69;383;45;2;35;610;-;3162;13435
"52 Goiás";1389;5292;125;1397;438;622;-;7;6606;2269;1912;98;139;703;57;1;79;386;-;4913;26433
"53 Distrito Federal";423;1909;52;360;136;218;-;1;1736;568;597;39;56;135;21;-;38;244;-;1233;7766
"Total";42698;168885;4322;46308;12485;18506;17;185;198259;66136;48985;4379;4104;21904;1603;90;2128;38923;1;128324;808242
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
