ANO,AGREGACAO,CODIGO,NOME,IDHM,IDHM_L,IDHM_E,IDHM_R,IDHMAD,IDHMAD_L,IDHMAD_E,IDHMAD_R,IDHMAD_PERDA,IDHMAD_L_PERDA,IDHMAD_E_PERDA,IDHMAD_R_PERDA,ESPVIDA,T_FREQ5A6,T_FUND11A13,T_FUND15A17,T_MED18A20,T_FUND18M,ANOSEST,RDPC,GINI,THEIL
2012,BRASIL,,,0.746,0.825,0.687,0.732,0.571,0.743,0.55,0.456,23.5,10.0,20.0,37.7,74.48,92.54,86.68,64.0,49.28,60.61,8.56,759.11,0.54,0.526
2013,BRASIL,,,0.753,0.83,0.698,0.737,0.581,0.749,0.562,0.467,22.8,9.7,19.5,36.7,74.8,93.74,87.58,66.21,50.11,61.51,8.69,784.47,0.532,0.509
2014,BRASIL,,,0.762,0.835,0.715,0.741,0.593,0.757,0.581,0.474,22.2,9.4,18.8,36.0,75.11,94.42,89.09,68.14,52.76,63.01,8.88,806.32,0.526,0.495
2015,BRASIL,,,0.765,0.84,0.724,0.736,0.598,0.764,0.591,0.473,21.9,9.1,18.4,35.8,75.4,94.93,90.67,68.18,53.84,64.16,9.03,780.32,0.524,0.493
2016,BRASIL,,,0.771,0.845,0.74,0.734,0.596,0.77,0.602,0.457,22.7,8.9,18.6,37.7,75.68,96.55,92.44,69.47,55.89,65.68,9.13,770.94,0.537,0.524
2017,BRASIL,,,0.774,0.849,0.742,0.735,0.599,0.775,0.611,0.453,22.6,8.7,17.7,38.4,75.96,96.59,93.12,69.21,56.54,65.45,9.26,774.72,0.539,0.53
2018,BRASIL,,,0.78,0.854,0.749,0.741,0.602,0.781,0.622,0.45,22.7,8.5,16.9,39.3,76.22,96.95,93.34,70.05,58.49,66.23,9.45,802.94,0.545,0.548
2019,BRASIL,,,0.785,0.858,0.76,0.743,0.609,0.787,0.634,0.453,22.4,8.3,16.6,39.0,76.47,96.86,94.09,71.48,60.26,67.42,9.55,814.3,0.544,0.547
2020,BRASIL,,,0.784,0.854,0.768,0.736,0.618,0.777,0.65,0.467,21.2,9.0,15.3,36.5,76.21,91.99,94.97,73.11,62.87,69.48,9.82,779.13,0.524,0.485
2021,BRASIL,,,0.766,0.819,0.757,0.724,0.591,0.74,0.64,0.436,22.8,9.6,15.4,39.8,74.16,88.18,94.04,70.56,61.27,70.31,9.91,723.84,0.544,0.537
2012,UF,11.0,Rondônia,0.694,0.758,0.637,0.692,0.53,0.661,0.496,0.453,23.7,12.8,22.2,34.5,70.5,86.56,75.16,60.36,46.78,57.27,7.76,593.78,0.487,0.416
2012,UF,12.0,Acre,0.701,0.791,0.649,0.67,0.502,0.698,0.467,0.387,28.4,11.8,28.1,42.2,72.47,82.55,78.36,60.46,51.04,59.04,7.72,516.75,0.566,0.585
2012,UF,13.0,Amazonas,0.691,0.764,0.632,0.683,0.512,0.668,0.504,0.398,25.9,12.6,20.2,41.7,70.85,87.38,80.8,51.45,37.06,61.27,8.63,559.44,0.589,0.619
2012,UF,14.0,Roraima,0.738,0.752,0.746,0.717,0.558,0.667,0.604,0.432,24.4,11.3,19.1,39.7,70.1,95.16,88.84,66.49,53.31,71.88,9.59,691.06,0.549,0.528
2012,UF,15.0,Pará,0.666,0.771,0.583,0.658,0.501,0.679,0.456,0.405,24.9,11.9,21.7,38.5,71.23,89.41,74.52,46.43,32.86,53.73,7.6,478.8,0.533,0.51
2012,UF,16.0,Amapá,0.707,0.796,0.659,0.673,0.542,0.687,0.538,0.43,23.4,13.7,18.4,36.1,72.77,79.15,77.07,60.45,44.41,66.97,9.09,528.23,0.528,0.483
2012,UF,17.0,Tocantins,0.71,0.785,0.676,0.674,0.536,0.694,0.512,0.433,24.5,11.6,24.2,35.7,72.11,91.91,88.7,64.24,46.55,58.12,7.98,529.31,0.507,0.45
2012,UF,21.0,Maranhão,0.648,0.739,0.611,0.602,0.469,0.631,0.429,0.38,27.6,14.6,29.8,36.8,69.34,94.97,80.66,54.47,37.87,50.84,6.66,338.42,0.498,0.452
2012,UF,22.0,Piauí,0.66,0.753,0.6,0.635,0.484,0.658,0.419,0.41,26.7,12.6,30.2,35.4,70.19,96.44,80.29,55.16,37.73,47.53,6.54,415.17,0.495,0.447
2012,UF,23.0,Ceará,0.701,0.796,0.667,0.648,0.508,0.708,0.48,0.385,27.6,11.1,28.0,40.6,72.78,97.96,88.55,63.24,46.85,53.99,7.19,451.45,0.545,0.54
2012,UF,24.0,Rio Grande do Norte,0.695,0.827,0.617,0.658,0.53,0.739,0.47,0.428,23.8,10.6,23.9,34.9,74.59,96.06,83.56,50.44,38.97,51.89,7.44,478.88,0.508,0.466
2012,UF,25.0,Paraíba,0.673,0.78,0.601,0.649,0.492,0.686,0.427,0.406,26.9,12.0,28.9,37.5,71.8,95.65,81.21,54.5,40.13,47.02,6.72,453.47,0.516,0.476
2012,UF,26.0,Pernambuco,0.688,0.784,0.616,0.673,0.5,0.702,0.456,0.39,27.2,10.4,25.9,42.0,72.03,95.01,79.22,51.01,40.41,52.98,7.6,525.5,0.574,0.595
