 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"11 Rondônia";271;947;22;296;38;93;-;1;1100;404;223;4;15;123;13;-;8;311;1178;5047
"12 Acre";131;432;15;168;22;43;-;-;505;227;131;1;7;53;9;-;7;125;649;2525
"13 Amazonas";679;2102;60;851;56;150;-;2;1662;578;532;28;71;203;80;-;27;1089;2700;10870
"14 Roraima";91;280;11;123;8;27;-;-;340;122;70;8;11;36;11;-;5;35;619;1797
"15 Pará";1542;3723;145;1661;108;305;1;5;5018;1888;1197;93;104;578;112;-;75;1388;7027;24970
"16 Amapá";109;327;10;134;9;40;-;-;373;139;121;6;10;55;14;-;6;141;623;2117
"17 Tocantins";156;801;21;333;81;77;-;-;1109;225;244;4;11;73;9;-;16;95;1290;4545
"21 Maranhão";1126;3052;141;1652;243;344;1;6;5164;1375;1204;91;76;438;94;-;42;907;4331;20287
"22 Piauí";415;1828;81;736;198;213;-;3;2786;766;674;39;43;197;51;-;48;412;2157;10647
"23 Ceará";1248;6015;151;1176;375;628;-;6;6925;2212;1838;149;148;605;113;-;78;779;8456;30902
"24 Rio Grande do Norte";478;2300;50;859;148;183;-;1;2686;696;702;35;45;245;27;-;21;328;2903;11707
"25 Paraíba";586;2548;57;1054;162;217;-;4;3616;972;886;47;65;408;40;-;36;658;2678;14034
"26 Pernambuco";1758;6278;204;2374;444;541;1;6;9274;2790;2376;134;156;886;96;-;74;797;7470;35659
"27 Alagoas";581;1753;50;1059;159;192;-;2;3211;747;836;41;46;238;26;-;29;429;2464;11863
"28 Sergipe";354;1206;38;480;247;129;1;2;1612;493;438;49;30;227;21;-;18;488;1881;7714
"29 Bahia";2311;8696;354;3384;778;791;-;2;10940;3042;2932;208;178;1091;123;1;101;5251;11850;52033
"31 Minas Gerais";3636;15682;461;4233;1844;1669;2;12;17254;6046;4611;300;411;1874;139;-;181;5383;10731;74469
"32 Espírito Santo";472;3008;44;771;182;288;-;5;3507;930;754;54;73;283;41;-;39;79;2881;13411
"33 Rio de Janeiro";4810;15049;537;4781;672;1164;1;17;20913;6686;3737;415;332;2568;176;-;172;6166;11556;79752
"35 São Paulo";6698;37957;716;7708;1151;3249;4;25;46746;16564;11190;648;876;4124;318;-;377;8168;17340;163859
"41 Paraná";1435;9935;149;2757;771;1056;-;4;10192;3610;2532;96;215;796;82;-;106;942;7052;41730
"42 Santa Catarina";956;6461;80;1211;320;474;-;1;5604;1984;1236;60;118;485;35;1;76;708;3632;23442
"43 Rio Grande do Sul";2381;12697;150;3149;668;1095;1;4;10393;4139;2483;122;206;878;61;-;132;2302;6587;47448
"50 Mato Grosso do Sul";397;2032;42;601;164;194;-;1;2685;865;540;47;41;187;31;-;19;182;1662;9690
"51 Mato Grosso";574;1999;68;803;142;191;-;5;2603;808;618;26;52;290;46;-;35;638;2628;11526
"52 Goiás";1168;4606;114;1384;354;437;-;1;5939;1899;1568;75;128;564;70;-;81;366;5339;24093
"53 Distrito Federal";355;1839;40;360;186;170;-;-;1618;376;470;9;57;73;24;-;42;164;1278;7061
"Total";34718;153553;3811;44098;9530;13960;12;115;183775;60583;44143;2789;3525;17578;1862;2;1851;38331;128962;743198
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
