 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Local ocorrência
Período:2022
"Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"11 Rondônia";3997;200;1120;569;406;13;6305
"12 Acre";1554;6;511;194;175;5;2445
"13 Amazonas";8081;102;2431;1150;692;6;12462
"14 Roraima";1324;9;376;129;297;-;2135
"15 Pará";15572;2141;4992;2377;1901;34;27017
"16 Amapá";1414;190;414;140;238;6;2402
"17 Tocantins";3080;322;1070;570;375;16;5433
"21 Maranhão";13396;780;5132;1943;1417;15;22683
"22 Piauí";7411;152;3406;1009;619;14;12611
"23 Ceará";18836;2129;7325;2961;2191;5;33447
"24 Rio Grande do Norte";7206;1146;2727;1104;498;25;12706
"25 Paraíba";9876;673;3860;1141;927;14;16491
"26 Pernambuco";24564;2831;7758;2896;1823;14;39886
"27 Alagoas";8184;900;2865;951;815;7;13722
"28 Sergipe";5225;112;1995;804;167;2;8305
"29 Bahia";32932;4724;12876;4832;3652;76;59092
"31 Minas Gerais";53968;6756;17172;3959;3234;101;85190
"32 Espírito Santo";9796;1065;2782;1176;723;38;15580
"33 Rio de Janeiro";54097;11453;12056;2764;2331;15;82716
"35 São Paulo";128304;15022;31276;6435;5234;53;186324
"41 Paraná";30873;2794;10145;3086;2286;10;49194
"42 Santa Catarina";19192;751;5482;1351;1272;9;28057
"43 Rio Grande do Sul";36533;2000;9725;2343;2394;41;53036
"50 Mato Grosso do Sul";7820;359;2208;749;639;10;11785
"51 Mato Grosso";8039;1025;2360;1174;818;14;13430
"52 Goiás";17916;1761;4906;1688;1308;22;27601
"53 Distrito Federal";5261;682;1336;473;255;-;8007
"Total";534451;60085;158306;47968;36687;565;838062
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
